,向俄罗斯输出版权总数,向其他地区输出版权总数,向加拿大输出版权总数,向台湾地区输出版权总数,向德国输出版权总数,向新加坡输出版权总数,向日本输出版权总数,向法国输出版权总数,向澳门地区输出版权总数,向美国输出版权总数,向英国输出版权总数,向韩国输出版权总数,向香港地区输出版权总数,输出版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,11.0,1144.0,86.0,1395.0,120.0,375.0,214.0,121.0,6.0,1147.0,178.0,360.0,534.0,5691.0
2011年,40.0,2886.0,16.0,1656.0,146.0,221.0,187.0,129.0,37.0,1077.0,433.0,507.0,448.0,7783.0
2012年,104.0,3475.0,122.0,1796.0,354.0,292.0,405.0,130.0,1.0,1259.0,606.0,310.0,511.0,9365.0
2013年,125.0,2719.0,157.0,1899.0,452.0,532.0,388.0,243.0,143.0,1266.0,731.0,695.0,1051.0,10401.0
2014年,226.0,3034.0,129.0,2412.0,408.0,416.0,388.0,371.0,107.0,1216.0,507.0,642.0,437.0,10293.0
