,向俄罗斯输出电视节目版权总数,向其他地区输出电视节目版权总数,向加拿大输出电视节目版权总数,向台湾地区输出电视节目版权总数,向德国输出电视节目版权总数,向新加坡输出电视节目版权总数,向日本输出电视节目版权总数,向法国输出电视节目版权总数,向澳门地区输出电视节目版权总数,向美国输出电视节目版权总数,向英国输出电视节目版权总数,向韩国输出电视节目版权总数,向香港地区输出电视节目版权总数,输出电视节目版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,318.0,54.0,148.0,,115.0,6.0,1.0,,759.0,2.0,,158.0,1561.0
2011年,,1144.0,,10.0,,48.0,,,,278.0,,,79.0,1559.0
2012年,,1164.0,3.0,3.0,1.0,101.0,1.0,,,192.0,,,66.0,1531.0
2013年,,603.0,111.0,132.0,59.0,192.0,1.0,59.0,119.0,329.0,59.0,,273.0,1937.0
2014年,,679.0,61.0,65.0,58.0,120.0,15.0,58.0,94.0,219.0,59.0,2.0,125.0,1555.0
