,从俄罗斯引进录音制品版权总数,从其他地区引进录音制品版权总数,从加拿大引进录音制品版权总数,从台湾地区引进录音制品版权总数,从德国引进录音制品版权总数,从新加坡引进录音制品版权总数,从日本引进录音制品版权总数,从法国引进录音制品版权总数,从澳门地区引进录音制品版权总数,从美国引进录音制品版权总数,从英国引进录音制品版权总数,从韩国引进录音制品版权总数,从香港地区引进录音制品版权总数,引进录音制品版权总数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,28.0,7.0,172.0,2.0,,53.0,,,22.0,26.0,2.0,127.0,439.0
2011年,1.0,7.0,1.0,52.0,,,21.0,2.0,,38.0,13.0,2.0,141.0,278.0
2012年,,29.0,11.0,108.0,38.0,2.0,23.0,3.0,,128.0,42.0,6.0,85.0,475.0
2013年,,18.0,1.0,83.0,29.0,2.0,27.0,3.0,,109.0,38.0,13.0,55.0,378.0
2014年,,6.0,,81.0,18.0,,11.0,,,41.0,2.0,12.0,37.0,208.0
