,中学民办学校办学经费,中等专业学校民办学校办学经费,中等职业学校民办学校办学经费,其它类别学校民办学校办学经费,农村普通初中民办学校办学经费,农村普通小学民办学校办学经费,小学民办学校办学经费,幼儿园民办学校办学经费,成人中专学校民办学校办学经费,成人中学民办学校办学经费,成人小学民办学校办学经费,成人高等学校民办学校办学经费,技工学校民办学校办学经费,教育事业单位民办学校办学经费,教育行政单位民办学校办学经费,普通中学民办学校办学经费,普通初中民办学校办学经费,普通小学民办学校办学经费,普通高中民办学校办学经费,普通高等学校民办学校办学经费,民办学校办学经费,特殊教育学校民办学校办学经费,职业高中民办学校办学经费,高等学校民办学校办学经费
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,203671.5,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,858537.2,,,
2001年,,,,,,,,,,,,,,,,,,,,,1280895.2,,,
2002年,,,,,,,,,,,,,,,,,,,,,1725548.7,,,
2003年,,,,,,,,,,,,,,,,,,,,,2590147.8,,,
2004年,,,,,,,,,,,,,,,,,,,,,3478528.8,,,
2005年,,,,,,,,,,,,,,,,,,,,,4522185.0,,,
2006年,,,,,,,,,,,,,,,,,,,,,5490583.0,,,
2007年,281572.6,25660.8,73563.4,,14992.1,18069.3,134938.3,,6219.3,355.0,,433.0,6989.1,,,281217.6,124959.2,134938.3,156258.4,318788.0,809337.4,42.1,34694.2,319221.0
2008年,196998.4,37435.8,94753.5,,21037.0,21073.1,104856.5,,1982.2,5.0,,,3538.4,,,196993.4,109348.2,104856.5,87645.2,301686.5,698479.3,184.4,51797.1,301686.5
2009年,178384.0,57842.0,127871.0,,22314.0,28366.0,112522.0,,5420.0,,,,7639.0,,,178384.0,107812.0,112522.0,70572.0,330962.0,749829.1,90.0,56969.0,330962.0
2010年,244849.7,56022.4,129023.1,,18327.5,36080.6,129501.9,281120.0,6372.9,,,,10522.0,,,244849.7,146140.2,129501.9,98709.5,269646.9,1054253.6,112.0,56105.8,269646.9
2011年,215221.1,58264.2,128687.6,,41210.7,48293.4,149896.7,292425.2,7934.1,,,,7359.0,,,215221.1,138231.0,149896.7,76990.1,332915.3,1119319.8,173.9,55130.3,332915.3
2012年,,,,,,,,,,,,,,,,,,,,,1281753.1,,,
2013年,,,,,,,,,,,,,,,,,,,,,1474088.7,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
