,公安机关受理伪造、变造、倒卖有价票证、凭证案件数,公安机关受理其他治安案件案件数,公安机关受理卖淫、嫖娼案件数,公安机关受理寻衅滋事案件数,公安机关受理扰乱公共场所秩序案件数,公安机关受理扰乱单位秩序案件数,公安机关受理抢夺案件数,公安机关受理故意伤害案件数,公安机关受理敲诈勒索案件数,公安机关受理殴打他人案件数,公安机关受理毒品违法活动案件数,公安机关受理治安案件数合计,公安机关受理盗窃、损毁公共设施案件数,公安机关受理盗窃案件数,公安机关受理诈骗案件数,公安机关受理赌博案件数,公安机关受理违反危险物质管理规定案件数,公安机关受理违反房屋出租管理案件数,公安机关受理违反旅馆业管理案件数,公安机关受理阻碍执行职务案件数,公安机关受理非法携带枪支、弹药、管制工具案件数
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,16759.0,1635401.0,105724.0,127064.0,329100.0,99099.0,65060.0,81325.0,49012.0,1851419.0,249468.0,7197200.0,47246.0,1763377.0,127884.0,366878.0,25608.0,81439.0,66561.0,44129.0,64647.0
2007年,24020.0,1993372.0,95338.0,159447.0,446846.0,90405.0,57472.0,123609.0,45425.0,2544082.0,267790.0,8709398.0,43810.0,2025560.0,136864.0,343769.0,21617.0,112065.0,69343.0,45030.0,63534.0
2008年,20404.0,2301827.0,87525.0,155146.0,449972.0,101985.0,51837.0,150516.0,38024.0,2917872.0,270216.0,9411956.0,27359.0,2022238.0,138445.0,344218.0,19301.0,109055.0,98331.0,42874.0,64811.0
2009年,20065.0,3169115.0,126140.0,164377.0,417580.0,134120.0,52876.0,208051.0,38654.0,3791080.0,346907.0,11752475.0,26008.0,2030135.0,165975.0,641991.0,18839.0,153017.0,144905.0,36012.0,66628.0
2010年,16057.0,3951974.0,103215.0,142963.0,391646.0,145463.0,48736.0,237471.0,29905.0,4258427.0,357195.0,12757660.0,19410.0,1994257.0,170325.0,387217.0,27845.0,182983.0,175252.0,33171.0,84148.0
2011年,18441.0,3988499.0,96162.0,123708.0,478102.0,151437.0,46685.0,278482.0,22734.0,4416863.0,365252.0,13165583.0,17828.0,2081986.0,204572.0,367442.0,24605.0,226765.0,151077.0,31521.0,73422.0
2012年,12774.0,4418624.0,94938.0,115527.0,476836.0,138416.0,37479.0,306328.0,19207.0,4531863.0,445180.0,13889480.0,14705.0,2052861.0,270114.0,408919.0,28083.0,236698.0,163429.0,38792.0,78707.0
2013年,7174.0,4183815.0,84375.0,90037.0,464682.0,130652.0,30111.0,294449.0,16079.0,4119105.0,540306.0,13307501.0,12573.0,2161720.0,317701.0,393829.0,19579.0,208415.0,135868.0,33229.0,63802.0
2014年,6377.0,3503053.0,86729.0,80768.0,424549.0,110179.0,30404.0,229277.0,14028.0,3283733.0,658908.0,11878456.0,12617.0,2326509.0,398982.0,367458.0,21205.0,123063.0,116292.0,31361.0,52964.0
