,公安机关查处伪造、变造、倒卖有价票证、凭证案件数,公安机关查处其他治安案件案件数,公安机关查处卖淫、嫖娼案件数,公安机关查处寻衅滋事案件数,公安机关查处扰乱公共场所秩序案件数,公安机关查处扰乱单位秩序案件数,公安机关查处抢夺案件数,公安机关查处故意伤害案件数,公安机关查处敲诈勒索案件数,公安机关查处殴打他人案件数,公安机关查处毒品违法活动案件数,公安机关查处治安案件数合计,公安机关查处盗窃、损毁公共设施案件数,公安机关查处盗窃案件数,公安机关查处诈骗案件数,公安机关查处赌博案件数,公安机关查处违反危险物质管理规定案件数,公安机关查处违反房屋出租管理案件数,公安机关查处违反旅馆业管理案件数,公安机关查处阻碍执行职务案件数,公安机关查处非法携带枪支、弹药、管制工具案件数
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,16559.0,1509622.0,104474.0,115462.0,327195.0,97400.0,36441.0,69198.0,37112.0,1650119.0,249419.0,6153699.0,35605.0,1185955.0,79215.0,360831.0,25277.0,80240.0,66363.0,43123.0,64089.0
2007年,23682.0,1869367.0,94687.0,145290.0,440835.0,88089.0,34582.0,110492.0,35325.0,2353630.0,267940.0,7649785.0,35769.0,1416432.0,87971.0,338865.0,20971.0,110753.0,68968.0,43922.0,62215.0
2008年,20231.0,2217667.0,86590.0,148867.0,448294.0,101028.0,39415.0,140236.0,32700.0,2795182.0,269722.0,8772299.0,24312.0,1670383.0,105238.0,340184.0,18969.0,108786.0,98005.0,42043.0,64447.0
2009年,20008.0,3055496.0,125175.0,157360.0,415766.0,133091.0,41036.0,193177.0,33007.0,3640805.0,346000.0,11053468.0,23626.0,1683624.0,128536.0,639314.0,18520.0,152414.0,144698.0,35535.0,66280.0
2010年,16043.0,3847468.0,102407.0,136670.0,389983.0,144340.0,38086.0,222715.0,26542.0,4125377.0,355769.0,12122138.0,16745.0,1678846.0,136500.0,383567.0,27579.0,182431.0,174826.0,32567.0,83677.0
2011年,18411.0,3887661.0,95294.0,117617.0,477873.0,149787.0,38236.0,261037.0,20231.0,4264526.0,363522.0,12563823.0,15993.0,1814719.0,171513.0,363999.0,24200.0,225829.0,149933.0,30785.0,72657.0
2012年,12678.0,4302596.0,94306.0,109609.0,475931.0,136616.0,31241.0,287543.0,16978.0,4377838.0,441637.0,13310741.0,12753.0,1832307.0,233497.0,404700.0,27615.0,234863.0,162237.0,38014.0,77782.0
2013年,7050.0,4084254.0,83891.0,85183.0,460004.0,128897.0,24768.0,277698.0,14137.0,3992598.0,536691.0,12746493.0,11239.0,1920436.0,271918.0,390697.0,19088.0,207604.0,134759.0,32566.0,63015.0
2014年,6199.0,3408699.0,85887.0,76830.0,423001.0,108458.0,21501.0,212400.0,12207.0,3164686.0,652949.0,11202216.0,11028.0,1988722.0,325474.0,363006.0,20654.0,122624.0,115139.0,30607.0,52145.0
