,人民法院审理不当得利一审案件结案中调解件数,人民法院审理人身损害赔偿一审案件结案中调解件数,人民法院审理人身权纠纷一审案件结案中调解件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中调解件数,人民法院审理所有权及其相关权利一审案件结案中调解件数,人民法院审理权属、侵权纠纷及其他民事一审案件结案中调解件数,人民法院审理特别程序一审案件结案中调解件数,人民法院审理特殊侵权纠纷一审案件结案中调解件数,人民法院审理票据、证券、股票纠纷一审案件结案中调解件数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,163743,0,0,0
2003年,0,0,0,0,0,167964,0,0,0
2004年,0,0,0,0,0,202748,0,0,0
2005年,0,0,0,0,0,239915,0,0,0
2006年,0,0,0,0,0,257754,0,0,0
2007年,1912,184655,186616,67720,19103,287842,5836,6600,55
2008年,3034,228515,233646,18042,82089,349525,1710,10081,923
2009年,4487,270715,280028,37096,91818,428968,1425,13090,1024
2010年,4908,368516,379203,43792,116804,563922,1148,17292,775
2011年,6099,463115,478925,46589,110502,697940,14463,31277,10085
2012年,5891,530732,548980,50337,97604,774943,7386,54860,9885
2013年,6410,475739,488101,33985,79460,692219,13604,65442,5217
2014年,6555,453003,464201,33961,64684,653108,5688,69191,8828
