,人民法院审理不当得利一审案件结案中判决件数,人民法院审理人身损害赔偿一审案件结案中判决件数,人民法院审理人身权纠纷一审案件结案中判决件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中判决件数,人民法院审理所有权及其相关权利一审案件结案中判决件数,人民法院审理权属、侵权纠纷及其他民事一审案件结案中判决件数,人民法院审理特别程序一审案件结案中判决件数,人民法院审理特殊侵权纠纷一审案件结案中判决件数,人民法院审理票据、证券、股票纠纷一审案件结案中判决件数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,405094,0,0,0
2003年,0,0,0,0,0,383443,0,0,0
2004年,0,0,0,0,0,380663,0,0,0
2005年,0,0,0,0,0,403578,0,0,0
2006年,0,0,0,0,0,419104,0,0,0
2007年,4688,223969,228062,114146,34110,417614,26796,9667,145
2008年,5985,244755,252105,28605,122863,448430,24354,12156,2362
2009年,7686,264665,275873,25624,110989,456423,19512,15008,1731
2010年,7339,298696,310000,26324,109793,491173,20541,15893,1283
2011年,7488,304472,316465,23705,100452,508823,25667,26663,8383
2012年,7738,290325,301963,35682,81721,521302,31535,54102,8561
2013年,9570,308301,320410,34346,84090,592560,56588,77963,9593
2014年,12018,364430,378855,41692,99943,709596,57527,105993,13568
