,一级女运动员发展人数,一级运动员发展人数,二级女运动员发展人数,二级运动员发展人数,国际级女运动健将发展人数,国际级运动健将发展人数,女运动健将发展数,等级女运动员发展人数,等级运动员发展人数,运动健将发展人数
1978年,,,,,,,,,,
1979年,,,,,,,,,,
1980年,,,,,,,,,,
1981年,,,,,,,,,,
1982年,,,,,,,,,,
1983年,,,,,,,,,,
1984年,,,,,,,,,,
1985年,,,,,,,,,,
1986年,,,,,,,,,,
1987年,,,,,,,,,,
1988年,,,,,,,,,,
1989年,,,,,,,,,,
1990年,,,,,,,,,,
1991年,,,,,,,,,,
1992年,,,,,,,,,,
1993年,,,,,,,,,,
1994年,,,,,,,,,,
1995年,,,,,,,,,,
1996年,,,,,,,,,,
1997年,,,,,,,,,,
1998年,,,,,,,,,,
1999年,,,,,,,,,,
2000年,,,,,,,,,,
2001年,,,,,,,,,,
2002年,,,,,,,,,,
2003年,,,,,,,,,,
2004年,,,,,,,,,,
2005年,,,,,,,,,,
2006年,,,,,,,,,,
2007年,,,,,,,,,,
2008年,,,,,,,,,,
2009年,,,,,,,,,,
2010年,3977.0,8953.0,12694.0,35370.0,153.0,306.0,719.0,17543.0,46341.0,1712.0
2011年,2917.0,7580.0,10508.0,28825.0,135.0,300.0,682.0,14242.0,38380.0,1675.0
2012年,3396.0,9690.0,12442.0,34735.0,85.0,167.0,864.0,16787.0,46412.0,1820.0
2013年,3498.0,9197.0,13973.0,40479.0,66.0,130.0,565.0,18102.0,51089.0,1283.0
2014年,5030.0,11410.0,11180.0,32694.0,62.0,127.0,395.0,16667.0,45141.0,910.0
