,举重创世界纪录人、队数,举重创世界纪录数,举重创世界纪录次数,举重女运动员创世界纪录人、队数,举重女运动员创世界纪录数,举重女运动员创世界纪录次数,女运动员创世界纪录人、队数,女运动员创世界纪录数,女运动员创世界纪录次数,射击创世界纪录人、队数,射击创世界纪录数,射击创世界纪录次数,射击女运动员创世界纪录人、队数,射击女运动员创世界纪录数,射击女运动员创世界纪录次数,游泳创世界纪录人、队数,游泳创世界纪录数,游泳创世界纪录次数,游泳女运动员创世界纪录人、队数,游泳女运动员创世界纪录数,游泳女运动员创世界纪录次数,蹼泳创世界纪录人、队数,蹼泳创世界纪录数,蹼泳创世界纪录次数,蹼泳女运动员创世界纪录人、队数,蹼泳女运动员创世界纪录数,蹼泳女运动员创世界纪录次数,运动员创世界纪录人、队数,运动员创世界纪录数,运动员创世界纪录次数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,2.0,4.0,4.0,1.0,3.0,3.0,8.0,13.0,13.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,11.0,16.0,16.0
2009年,1.0,2.0,2.0,,,,7.0,17.0,17.0,1.0,1.0,1.0,,,,4.0,9.0,9.0,3.0,8.0,8.0,,,,,,,11.0,22.0,22.0
2010年,2.0,4.0,4.0,1.0,2.0,2.0,17.0,9.0,9.0,7.0,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,1.0,1.0,,,,,,,24.0,15.0,15.0
2011年,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,4.0,4.0,1.0,4.0,4.0,7.0,8.0,8.0
2012年,3.0,4.0,4.0,,,,,,,7.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,18.0,14.0,14.0
2013年,2.0,4.0,4.0,,,,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,7.0,13.0,13.0
2014年,5.0,3.0,3.0,,,,,,,5.0,6.0,6.0,,,,,,,,,,,,,,,,5.0,10.0,10.0
