,政府采购的中央艺术表演团体公益演出活动观众人次,政府采购的乐团、合唱团公益演出活动观众人次,政府采购的京剧公益演出活动观众人次,政府采购的公益演出活动观众人次,政府采购的其他艺术表演团体公益演出活动观众人次,政府采购的其他部门艺术表演团体公益演出活动观众人次,政府采购的县、市艺术表演团体公益演出活动观众人次,政府采购的国有艺术表演团体公益演出活动观众人次,政府采购的地、市艺术表演团体公益演出活动观众人次,政府采购的戏曲剧团公益演出活动观众人次,政府采购的执行事业会计制度的艺术表演团体公益演出活动观众人次,政府采购的执行企业会计制度的艺术表演团体公益演出活动观众人次,政府采购的文化部门艺术表演团体公益演出活动观众人次,政府采购的文工团、文宣队、乌兰牧骑公益演出活动观众人次,政府采购的曲、杂、木、皮影团公益演出活动观众人次,政府采购的歌剧、舞剧、歌舞剧团公益演出活动观众人次,政府采购的歌舞团、轻音乐团公益演出活动观众人次,政府采购的省、区、市艺术表演团体公益演出活动观众人次,政府采购的综合性艺术表演团体公益演出活动观众人次,政府采购的话剧、儿童剧、滑稽剧团公益演出活动观众人次,政府采购的集体艺术表演团体公益演出活动观众人次
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,
2011年,516.82,423.49,1579.04,77998.9,10894.6,8820.41,47751.39,62128.02,17613.85,41894.24,64170.88,13828.02,69178.49,4450.54,3220.71,2802.17,13878.89,12116.84,8782.04,2546.83,4976.28
2012年,448.5,950.44,2178.99,103584.75,27727.95,31313.1,69704.99,71848.84,22126.31,54125.93,60396.97,43187.78,72271.67,6869.36,3612.13,4209.88,16381.57,11304.97,13248.27,4187.17,4007.96
2013年,505.05,,,90982.12,13719.39,3819.11,52522.26,72940.6,23172.89,,63311.68,27670.44,87163.01,,,,,14781.93,,,4322.15
2014年,604.05,,,98933.59,11795.47,2173.81,59370.5,81638.75,25474.67,,69456.82,29476.77,96759.78,,,,,13484.37,,,5499.37
