,中央艺术表演团体国内演出农村观众人次,乐团、合唱团国内演出农村观众人次,京剧剧团国内演出农村观众人次,其他艺术表演团体国内演出农村观众人次,其他部门艺术表演团体国内演出农村观众人次,县、市艺术表演团体国内演出农村观众人次,国有艺术表演团体国内演出农村观众人次,地、市艺术表演团体国内演出农村观众人次,戏曲剧团国内演出农村观众人次,执行事业会计制度的艺术表演团体国内演出农村观众人次,执行企业会计制度的艺术表演团体国内演出农村观众人次,文化部门艺术表演团体国内演出农村观众人次,文工团、文宣队、乌兰牧骑国内演出农村观众人次,曲艺、杂技、木偶、皮影团国内演出农村观众人次,歌剧、舞剧、歌舞剧团国内演出农村观众人次,歌舞团、轻音乐团国内演出农村观众人次,省、区、市艺术表演团体国内演出农村观众人次,综合性艺术表演团体国内演出农村观众人次,艺术表演团体国内演出农村观众人次,话剧、儿童剧、滑稽剧团国内演出农村观众人次,集体艺术表演团体国内演出农村观众人次
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,2618.0,262.0,6563.0,114361.0,126022.0,328547.0,241199.0,65942.0,261370.0,,,290558.0,23995.0,32965.0,5467.0,33024.0,19473.0,43167.0,416580.0,16330.0,61020.0
2009年,637.0,285.0,10911.0,211382.0,213984.0,427334.0,247114.0,67503.0,355604.0,,,301907.0,22335.0,44871.0,7326.0,45391.0,20417.0,37216.0,515891.0,2863.0,57395.0
2010年,1039.0,1254.0,10889.0,247261.0,242899.0,467793.0,267716.0,62134.0,354438.0,,,320777.0,24413.0,47103.0,10719.0,45864.0,32710.0,75579.0,563676.0,4306.0,48699.0
2011年,1258.51,1456.06,9412.77,164717.72,169567.49,349590.41,241328.73,63247.99,294274.39,261200.0,178035.22,269667.73,19675.38,15744.03,8844.2,41941.64,25138.31,54036.81,439235.22,3262.72,33188.77
2012年,122.8,1056.08,10734.11,235697.79,291728.45,440560.49,258311.95,63525.36,344759.75,202470.57,318553.77,229295.87,17220.88,46086.06,11157.6,40845.95,16815.71,48378.17,521024.34,11519.88,27014.58
2013年,866.3,,,313091.96,298789.27,459838.77,190682.57,50769.78,,183586.79,346147.58,230945.1,,,,,18259.52,,529734.37,,25959.82
2014年,752.76,,,355384.81,337900.21,492609.65,181341.81,50672.82,,169858.44,388768.22,220726.44,,,,,14591.43,,558626.66,,21900.04
