,中央艺术表演团体剧团原创首演剧目数,乐团、合唱团原创首演剧目数,京剧原创首演剧目数,其他艺术表演团体剧团原创首演剧目数,其他部门艺术表演团体剧团原创首演剧目数,县、市艺术表演团体剧团原创首演剧目数,国有艺术表演团体剧团原创首演剧目数,地、市艺术表演团体剧团原创首演剧目数,戏曲剧团原创首演剧目数,执行事业会计制度的艺术表演团体剧团原创首演剧目数,执行企业会计制度的艺术表演团体剧团原创首演剧目数,文化部门艺术表演团体剧团原创首演剧目数,文工团、文宣队、乌兰牧骑原创首演剧目数,曲、杂、木、皮影团原创首演剧目数,歌剧、舞剧、歌舞剧团原创首演剧目数,歌舞团、轻音乐团原创首演剧目数,省、区、市艺术表演团体剧团原创首演剧目数,综合性艺术表演团体原创首演剧目数,艺术表演团体剧团原创首演剧目数,话剧、儿童剧、滑稽剧团原创首演剧目数,集体艺术表演团体剧团原创首演剧目数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,103,100,48,309,369,900,1149,368,728,0,0,1209,58,71,64,246,207,224,1578,87,120
2010年,16,22,36,256,246,901,1088,340,719,0,0,1197,96,58,68,207,186,170,1443,103,99
2011年,29,32,35,369,393,896,1126,394,664,1107,481,1195,81,104,98,271,269,195,1588,143,93
2012年,30,93,64,2351,2806,3221,1578,499,1152,947,3088,1229,164,311,177,771,285,971,4035,396,106
2013年,26,0,0,270,69,732,996,340,0,831,526,1288,0,0,0,0,259,0,1357,0,91
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
