,中央艺术表演团体国内演出观众人次,乐团、合唱团国内演出观众人次,京剧剧团国内演出观众人次,其他艺术表演团体国内演出观众人次,其他部门艺术表演团体国内演出观众人次,县、市艺术表演团体国内演出观众人次,国有艺术表演团体国内演出观众人次,地、市艺术表演团体国内演出观众人次,戏曲剧团国内演出观众人次,执行事业会计制度的艺术表演团体国内演出观众人次,执行企业会计制度的艺术表演团体国内演出观众人次,文化部门艺术表演团体国内演出观众人次,文工团、文宣队、乌兰牧骑国内演出观众人次,曲艺、杂技、木偶、皮影团国内演出观众人次,歌剧、舞剧、歌舞剧团国内演出观众人次,歌舞团、轻音乐团国内演出观众人次,省、区、市艺术表演团体国内演出观众人次,综合性艺术表演团体国内演出观众人次,艺术表演团体国内演出观众人次,话剧、儿童剧、滑稽剧团国内演出观众人次,集体艺术表演团体国内演出观众人次
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,6195.0,2075.0,12144.0,185468.0,212924.0,454357.0,368354.0,127783.0,327683.0,0.0,0.0,418944.0,36342.0,67710.0,17669.0,78467.0,43533.0,74982.0,631868.0,26940.0,78046.0
2009年,4130.0,3308.0,17788.0,357550.0,368567.0,641304.0,374870.0,125447.0,456600.0,0.0,0.0,448592.0,39590.0,82506.0,21374.0,119791.0,46278.0,82092.0,817159.0,11898.0,84739.0
2010年,6773.0,4804.0,17193.0,406554.0,411434.0,680703.0,411025.0,133254.0,450028.0,0.0,0.0,473124.0,39539.0,85018.0,30845.0,133672.0,63828.0,126113.0,884558.0,14539.0,66979.0
2011年,9481.28,5033.35,15309.35,328408.26,338286.75,564018.42,374743.02,115850.73,372176.12,391368.21,354482.29,407563.75,34772.44,100038.45,22206.5,92557.05,56500.07,106562.92,745850.5,12503.69,42699.2
2012年,3633.92,4793.07,17326.62,393408.73,468822.57,642009.42,399649.67,131857.44,417180.12,299697.75,528353.17,359228.36,29441.77,88212.72,33209.25,93251.43,50550.17,102002.02,828050.92,59960.58,34992.55
2013年,5424.9,0.0,0.0,580102.28,552979.67,758017.2,286054.37,89690.24,0.0,264044.66,636597.85,347662.85,0.0,0.0,0.0,0.0,47510.18,0.0,900642.51,0.0,34485.86
2014年,4613.53,0.0,0.0,609250.2,575772.05,775196.36,271407.26,87717.97,0.0,244481.2,665715.57,334424.72,0.0,0.0,0.0,0.0,42668.91,0.0,910196.77,0.0,29539.32
