,农村居民人均棉花出售量,农村居民人均水果出售量,农村居民人均油料出售量,农村居民人均烟叶出售量,农村居民人均粮食出售量,农村居民人均蔬菜出售量,农村居民人均麻类出售量
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,0.52,1.82,3.9,0.62,20.62,19.38,0.52
1982年,0.82,2.74,5.17,1.26,31.23,25.12,0.37
1983年,4.95,6.0,8.5,1.48,122.9,42.61,0.86
1984年,5.49,6.48,10.63,2.2,141.27,53.55,1.65
1985年,4.13,6.78,14.37,2.25,123.49,53.76,2.8
1986年,3.58,8.1,14.21,1.74,146.79,63.68,1.64
1987年,4.24,10.89,12.9,2.06,148.72,58.62,1.58
1988年,3.85,10.56,10.84,2.69,150.36,58.62,1.48
1989年,3.48,11.93,10.7,2.78,154.27,64.05,1.28
1990年,4.31,13.17,12.87,2.67,180.24,65.07,1.56
1991年,5.54,15.74,13.22,3.17,179.44,68.7,1.32
1992年,4.16,16.92,11.27,3.58,165.89,75.58,1.18
1993年,3.26,19.6,10.48,3.19,159.35,77.73,0.86
1994年,4.01,22.64,10.68,2.02,188.53,72.68,0.5
1995年,4.31,24.28,12.02,2.21,179.2,79.96,0.73
1996年,3.9,29.78,11.64,3.07,203.47,97.0,0.83
1997年,5.12,36.21,11.13,4.45,228.01,106.22,0.57
1998年,5.1,38.51,12.39,2.33,227.53,108.72,0.41
1999年,4.43,43.17,15.59,2.42,243.34,111.66,0.28
2000年,5.593890873,46.4330239515,18.4324648276,2.7327667545,264.739727846,132.068373858,0.468937175446
2001年,7.04544122476,48.2057813101,18.314236485,2.4181086988,268.040208599,132.935933875,0.4392581111
2002年,6.94276717056,49.0597889759,18.4656908341,2.58564510746,281.151039855,143.772137293,0.64215724561
2003年,16.77,48.83,19.22,2.62,294.35,147.58,0.71
2004年,19.1912196297,57.4797732366,18.8754319696,2.46979927312,287.249511033,151.566157398,0.528345960507
2005年,22.0602611245,61.6176044431,20.0913944446,3.68916507803,375.79,167.928594532,0.685028927932
2006年,23.791013888,59.49,17.7922133579,3.82881816523,394.638989664,172.978179038,0.430158938236
2007年,24.92,66.79,17.24,3.45,394.06,169.99,0.39
2008年,20.68,64.94,15.69,3.83,444.447,170.83,0.28
2009年,22.56,72.78,22.59,4.45,482.93,170.84,0.17
2010年,14.71,65.93,17.46,4.07,460.455755471,168.26,0.2
2011年,19.91,60.82,16.88,4.52,481.447439515,174.52,0.11
2012年,22.98181418,71.0381813308,18.5216457084,4.80435034478,529.748235669,164.134190373,
2013年,,,,,,,
2014年,,,,,,,
