,乡村从业人员,乡村女性从业人员,乡村男性从业人员,农林牧渔业从业人员
1978年,30637.8,14089.6,16548.4,28455.6
1979年,31024.5,0.0,0.0,29071.6
1980年,31835.9,14456.2,17379.7,29808.4
1981年,32672.3,14832.8,17839.5,30677.6
1982年,33866.5,15349.1,18517.4,31152.7
1983年,34689.8,15743.3,18946.5,31645.1
1984年,35967.6,16304.3,19663.3,31685.0
1985年,37065.1,16911.9,20153.2,30351.3
1986年,37989.8,17297.4,20692.4,30467.9
1987年,39000.4,17787.9,21212.5,30870.0
1988年,40066.7,18339.0,21727.7,31455.7
1989年,40938.8,18720.5,22218.3,32440.5
1990年,42009.5,19457.7,22551.8,33336.4
1991年,43092.5,19970.6,23121.9,34186.3
1992年,43801.6,20351.7,23449.9,34037.0
1993年,44255.7,20602.6,23653.145,33258.2
1994年,44654.1,20800.3,23854.4,32690.3
1995年,45041.8,21004.35,24037.35,32334.5
1996年,45288.0,21133.05,24154.9,32260.4
1997年,46234.3,21600.92,24633.38,32677.89
1998年,46432.3,21699.2,24733.1,32626.4
1999年,46896.49,21900.79,24995.71,32911.76
2000年,47962.1412,22444.3311,25517.7801,32797.4981
2001年,48228.9393,22543.5446,25685.3747,32451.0064
2002年,48526.8515,22676.73,25850.1165,31990.5837
2003年,48971.02,22849.98,26121.04,31259.6345
2004年,49695.28,23169.51,26525.77,30596.0
2005年,50387.2626,23456.711,26930.5516,29975.5382
2006年,50976.8101,23683.77385,27293.03625,29418.4077
2007年,51435.7421,23927.6809,27508.0612,28640.6759
2008年,52025.6414,24190.7464,27834.895,28363.5966
2009年,52599.2989,24412.9703,28186.3286,28065.2649
2010年,53243.9321,24670.3854,28573.5467,27694.7704
2011年,53685.4444,24933.3797,28752.0545,27355.4198
2012年,53857.8772,25009.9082,28847.0026,27032.2501
2013年,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0
