,农村居民人均家禽出售量,农村居民人均水产品出售量,农村居民人均牛羊奶出售量,农村居民人均牛肉出售量,农村居民人均猪肉出售量,农村居民人均羊肉出售量,农村居民人均蚕茧出售量,农村居民人均蛋类出售量
1978年,,,,,,,,
1979年,,,,,,,,
1980年,0.61,,,0.2,8.94,0.2,,1.07
1981年,0.73,,,,8.63,,,1.15
1982年,1.07,,,,9.53,,,1.27
1983年,1.15,0.71,0.38,,13.61,,,1.68
1984年,1.21,0.81,0.54,,15.05,,,1.94
1985年,1.0,1.74,1.02,0.52,16.27,0.57,0.361328125,2.21
1986年,1.6,2.04,1.51,,16.89,,,2.25
1987年,1.62,2.21,1.78,,17.29,,,1.97
1988年,2.07,2.64,1.84,,16.51,,,2.08
1989年,1.59,2.18,1.44,0.51,16.79,0.66,0.51,2.01
1990年,1.45,2.05,1.68,0.55,17.84,0.71,0.583333333333,1.89
1991年,2.18,2.92,1.91,0.76,20.07,0.9,0.651804670913,2.65
1992年,2.23,3.21,1.85,0.72,21.17,0.86,0.698072805139,2.9
1993年,2.41,3.1,1.76,0.86,23.8,1.02,0.742919389978,2.89
1994年,2.3,2.97,1.81,0.93,23.31,1.11,0.825991189427,3.35
1995年,2.42,2.94,1.9,0.96,24.17,1.15,0.79,3.54
1996年,2.45,3.27,2.55,2.01,25.73,1.68,0.495475113122,2.58
1997年,2.99,4.5,2.76,2.33,26.08,1.76,0.540229885057,3.76
1998年,2.42,4.31,2.6,1.04,23.04,1.67,0.65,3.57
1999年,3.41,6.2,3.0,1.86,28.41,1.85,0.62,4.07
2000年,4.59787463045,5.8208392449,2.67048845775,2.4,30.1903362431,2.06,0.644086216898,6.31756837036
2001年,5.03009642578,6.52859760683,3.64643055119,2.76,30.86,2.31,0.804228470145,5.95790243024
2002年,6.01425761696,8.04345804015,4.87396777835,2.73,32.2985011041,2.5,0.76503333641,6.53718483069
2003年,6.67,7.47,7.29,2.71,29.49,2.87,0.76,7.06
2004年,6.87452079886,7.28394423403,7.67343669836,2.49,26.6152165063,2.94,0.792371386064,6.38578661651
2005年,9.62344538811,8.54,11.2706105793,2.87,32.1931258052,3.26,0.908131372142,10.5186923245
2006年,8.85683367718,8.9388631402,13.2661522647,3.07,34.4409101285,3.12,1.05341116217,10.9632792182
2007年,10.21,9.85202958057,14.62,3.02,27.55,3.0,1.16,10.69
2008年,10.82,10.26,15.05,2.83,25.36,2.61,0.98,12.84
2009年,11.35,10.72,12.66,2.69,31.7,2.81,0.8,12.91
2010年,10.5,11.1308825862,11.27,2.56,33.1,2.76,0.78,12.87
2011年,8.32,9.135,10.42,3.4,29.76,2.99,0.81,9.149
2012年,8.08548894673,9.70959847886,9.32235452991,3.34348050417,30.7421558893,3.31623306782,,10.1345573537
2013年,,,,,,,,
2014年,,,,,,,,
