,农村居民家庭养殖水面面积,农村居民家庭园地面积,农村居民家庭经营山地面积,农村居民家庭经营耕地面积
1978年,0.0,0.0,0.0,0.16
1979年,0.0,0.0,0.0,0.18
1980年,0.0,0.0,0.04,0.19
1981年,0.0,0.0,0.17,0.23
1982年,0.0,0.0,0.13,0.23
1983年,0.0,0.0,0.43,1.93
1984年,0.0,0.0,0.54,2.05
1985年,0.02,0.0,0.52,2.07
1986年,0.01,0.0,0.53,2.07
1987年,0.03,0.0,0.54,2.07
1988年,0.04,0.0,0.49,2.06
1989年,0.02,0.0,0.45,2.11
1990年,0.02,0.0,0.42,2.1
1991年,0.02,0.0,0.33,2.18
1992年,0.0195,0.0,0.33,2.0595
1993年,0.02,0.0,0.76,2.17
1994年,0.02,0.0,0.43,2.18
1995年,0.02,0.0,0.44,2.17
1996年,0.02,0.0,0.46,2.3
1997年,0.02,0.0,0.43,2.07
1998年,0.02,0.0,0.43,2.06
1999年,0.0213,0.0,0.4673,2.0656
2000年,0.0305476967592,0.0624743676659,0.284329121267,1.98347848422
2001年,0.0330180811587,0.0629235619988,0.276269723857,1.99415238169
2002年,0.03,0.07,0.28,2.0
2003年,0.0232,0.0717,0.1864,1.9634
2004年,0.02,0.07,0.208878746047,2.00131480399
2005年,0.03,0.08,0.317722630197,2.08402216244
2006年,0.03,0.1,0.310230897921,2.10891967783
2007年,0.0424,0.1,0.3196,2.1587
2008年,0.04,0.1,0.33,2.18
2009年,0.036,0.1047,0.341,2.256
2010年,0.037,0.105,0.3493,2.2792
2011年,0.0375,0.1075,0.4879,2.301
2012年,0.0357699425743,0.101728417973,0.484185070848,2.33932652646
2013年,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0
