,业余无线电运动健将发展人数,中国式摔跤运动健将发展人数,中国象棋运动健将发展人数,举重运动健将发展人数,乒乓球运动健将发展人数,体操运动健将发展人数,体育舞蹈运动健将发展人数,保龄球运动健将发展人数,信鸽运动健将发展人数,健美操运动健将发展人数,健美运动健将发展人数,健身气功运动健将发展人数,冬季两项运动健将发展人数,冰壶运动健将发展人数,冰球运动健将发展人数,击剑运动健将发展人数,单板滑雪运动健将发展人数,台球运动健将发展人数,围棋运动健将发展人数,国际式摔跤运动健将发展人数,国际象棋运动健将发展人数,垒球运动健将发展人数,壁球运动健将发展人数,定向运动健将发展人数,射击运动健将发展人数,射箭运动健将发展人数,帆船运动健将发展人数,手球运动健将发展人数,技巧运动健将发展人数,拔河运动健将发展人数,拳击运动健将发展人数,排球运动健将发展人数,掷球运动健将发展人数,摩托艇运动健将发展人数,摩托车运动健将发展人数,救生运动健将发展人数,曲棍球运动健将发展人数,柔道运动健将发展人数,桥牌运动健将发展人数,棒球运动健将发展人数,橄榄球运动健将发展人数,武术运动健将发展人数,毽球运动健将发展人数,水球运动健将发展人数,汽车运动健将发展人数,沙滩排球运动健将发展人数,游泳运动健将发展人数,滑水运动健将发展人数,滑翔运动健将发展人数,潜水运动健将发展人数,热气球运动健将发展人数,现代五项运动健将发展人数,田径运动健将发展人数,电子竞技运动健将发展人数,登山运动健将发展人数,皮划艇运动健将发展人数,短道速滑运动健将发展人数,篮球运动健将发展人数,网球运动健将发展人数,羽毛球运动健将发展人数,自由式滑雪运动健将发展人数,自行车运动健将发展人数,舞龙舞狮运动健将发展人数,航海模型运动健将发展人数,航空模型运动健将发展人数,艺术体操运动健将发展人数,花样游泳运动健将发展人数,花样滑冰运动健将发展人数,藤球运动健将发展人数,街舞运动健将发展人数,赛艇运动健将发展人数,越野滑雪运动健将发展人数,足球运动健将发展人数,跆拳道运动健将发展人数,跳伞运动健将发展人数,跳台滑雪运动健将发展人数,跳水运动健将发展人数,蹦床运动健将发展人数,蹼泳运动健将发展人数,车辆模型运动健将发展人数,轮滑运动健将发展人数,软式网球运动健将发展人数,运动健将发展人数,运动飞机运动健将发展人数,速度滑冰运动健将发展人数,钓鱼运动健将发展人数,铁人三项运动健将发展人数,门球运动健将发展人数,风筝运动健将发展人数,飞镖运动健将发展人数,马术运动健将发展人数,高尔夫球运动健将发展人数,高山滑雪运动健将发展人数,龙舟运动健将发展人数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
