,业余无线电二级运动员发展人数,中国式摔跤二级运动员发展人数,中国象棋二级运动员发展人数,举重二级运动员发展人数,乒乓球二级运动员发展人数,二级运动员发展人数,体操二级运动员发展人数,体育舞蹈二级运动员发展人数,保龄球二级运动员发展人数,信鸽二级运动员发展人数,健美二级运动员发展人数,健美操二级运动员发展人数,健身气功二级运动员发展人数,冬季两项二级运动员发展人数,冰壶二级运动员发展人数,冰球二级运动员发展人数,击剑二级运动员发展人数,单板滑雪二级运动员发展人数,台球二级运动员发展人数,围棋二级运动员发展人数,国际式摔跤二级运动员发展人数,国际象棋二级运动员发展人数,垒球二级运动员发展人数,壁球二级运动员发展人数,定向二级运动员发展人数,射击二级运动员发展人数,射箭二级运动员发展人数,帆船二级运动员发展人数,手球二级运动员发展人数,技巧二级运动员发展人数,拔河二级运动员发展人数,拳击二级运动员发展人数,排球二级运动员发展人数,掷球二级运动员发展人数,摩托艇二级运动员发展人数,摩托车二级运动员发展人数,救生二级运动员发展人数,曲棍球二级运动员发展人数,柔道二级运动员发展人数,桥牌二级运动员发展人数,棒球二级运动员发展人数,橄榄球二级运动员发展人数,武术二级运动员发展人数,毽球二级运动员发展人数,水球二级运动员发展人数,汽车二级运动员发展人数,沙滩排球二级运动员发展人数,游泳二级运动员发展人数,滑水二级运动员发展人数,滑翔二级运动员发展人数,潜水二级运动员发展人数,热气球二级运动员发展人数,现代五项二级运动员发展人数,田径二级运动员发展人数,电子竞技二级运动员发展人数,登山二级运动员发展人数,皮划艇二级运动员发展人数,短道速滑二级运动员发展人数,篮球二级运动员发展人数,网球二级运动员发展人数,羽毛球二级运动员发展人数,自由式滑雪二级运动员发展人数,自行车二级运动员发展人数,舞龙舞狮二级运动员发展人数,航海模型二级运动员发展人数,航空模型二级运动员发展人数,艺术体操二级运动员发展人数,花样游泳二级运动员发展人数,花样滑冰二级运动员发展人数,藤球二级运动员发展人数,街舞二级运动员发展人数,赛艇二级运动员发展人数,越野滑雪二级运动员发展人数,足球二级运动员发展人数,跆拳道二级运动员发展人数,跳伞二级运动员发展人数,跳台滑雪二级运动员发展人数,跳水二级运动员发展人数,蹦床二级运动员发展人数,蹼泳二级运动员发展人数,车辆模型二级运动员发展人数,轮滑二级运动员发展人数,软式网球二级运动员发展人数,运动飞机二级运动员发展人数,速度滑冰二级运动员发展人数,钓鱼二级运动员发展人数,铁人三项二级运动员发展人数,门球二级运动员发展人数,风筝二级运动员发展人数,飞镖二级运动员发展人数,马术二级运动员发展人数,高尔夫球二级运动员发展人数,高山滑雪二级运动员发展人数,龙舟二级运动员发展人数
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,225.0,319.0,285.0,337.0,2007.0,35370.0,208.0,36.0,,,38.0,524.0,,2.0,13.0,12.0,538.0,,,490.0,772.0,256.0,163.0,,54.0,510.0,158.0,116.0,511.0,23.0,2.0,424.0,1923.0,,,1.0,7.0,226.0,834.0,,180.0,,2082.0,14.0,9.0,,86.0,2104.0,9.0,,,,5.0,7575.0,5.0,10.0,281.0,30.0,3969.0,773.0,667.0,,81.0,35.0,133.0,47.0,102.0,32.0,6.0,3.0,2.0,288.0,10.0,3458.0,1482.0,,2.0,123.0,70.0,8.0,16.0,28.0,21.0,,90.0,,8.0,480.0,,9.0,,,8.0,15.0
2011年,27.0,471.0,182.0,193.0,1720.0,28825.0,154.0,,,,63.0,419.0,,,21.0,,298.0,,,399.0,618.0,258.0,157.0,,,632.0,120.0,32.0,417.0,39.0,,542.0,1880.0,,,,,262.0,635.0,,182.0,16.0,2598.0,,3.0,,124.0,1912.0,,,,,24.0,4607.0,,19.0,281.0,12.0,3675.0,920.0,433.0,,110.0,,18.0,45.0,74.0,45.0,6.0,,,272.0,57.0,2306.0,1151.0,,4.0,139.0,47.0,1.0,14.0,29.0,90.0,,55.0,,,,,,,,17.0,
2012年,15.0,540.0,254.0,268.0,2296.0,34735.0,87.0,,,,90.0,585.0,,,13.0,30.0,423.0,2.0,,564.0,713.0,373.0,204.0,,,569.0,104.0,36.0,443.0,20.0,,688.0,2251.0,,2.0,,,189.0,756.0,,179.0,37.0,3118.0,,5.0,,77.0,2128.0,,,,,24.0,5978.0,,11.0,299.0,9.0,4588.0,1007.0,511.0,10.0,127.0,,28.0,24.0,111.0,66.0,9.0,,,408.0,11.0,3016.0,1270.0,,,51.0,20.0,10.0,6.0,12.0,16.0,,33.0,,,,,,,,21.0,
2013年,6.0,434.0,247.0,254.0,2513.0,40479.0,168.0,,,,86.0,72.0,,,20.0,22.0,313.0,2.0,,696.0,,300.0,118.0,,,559.0,164.0,27.0,676.0,8.0,,755.0,2635.0,,,,,210.0,621.0,,202.0,118.0,3878.0,,20.0,,108.0,2163.0,,,,,5.0,7421.0,,4.0,343.0,25.0,5692.0,1373.0,609.0,1.0,141.0,,26.0,24.0,54.0,39.0,7.0,,,401.0,25.0,3921.0,1388.0,1.0,,31.0,36.0,17.0,4.0,6.0,16.0,,82.0,,8.0,,,,2.0,2.0,12.0,
2014年,,,,,,32694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
