,专用设备制造业大中型工业企业实收资本,交通运输设备制造业大中型工业企业实收资本,仪器仪表及文化办公用机械制造业大中型工业企业实收资本,其他矿采选业大中型工业企业实收资本,其它制造业大中型工业企业实收资本,化学原料及化学制品制造业大中型工业企业实收资本,化学纤维制造业大中型工业企业实收资本,医药制造业大中型工业企业实收资本,印刷业、记录媒介的复制大中型工业企业实收资本,塑料制品业大中型工业企业实收资本,大中型工业企业实收资本,家具制造业大中型工业企业实收资本,文教体育用品制造业大中型工业企业实收资本,普通机械制造业大中型工业企业实收资本,有色金属冶炼及压延加工业大中型工业企业实收资本,有色金属矿采选业大中型工业企业实收资本,服装及其他纤维制品制造业大中型工业企业实收资本,木材加工及竹、藤、棕、草制品业大中型工业企业实收资本,木材及竹材采运业大中型工业企业实收资本,橡胶制品业大中型工业企业实收资本,烟草加工业大中型工业企业实收资本,煤气生产和供应业大中型工业企业实收资本,煤炭采选业大中型工业企业实收资本,电力、蒸汽、热水的生产和供应业大中型工业企业实收资本,电子及通信设备制造业大中型工业企业实收资本,电气机械及器材制造业大中型工业企业实收资本,皮革、毛皮、羽绒及其制品业大中型工业企业实收资本,石油加工及炼焦业大中型工业企业实收资本,石油和天然气开采业大中型工业企业实收资本,纺织业大中型工业企业实收资本,自来水的生产和供应业大中型工业企业实收资本,造纸及纸制品业大中型工业企业实收资本,金属制品业大中型工业企业实收资本,非金属矿物制造业大中型工业企业实收资本,非金属矿采选业大中型工业企业实收资本,食品制造业大中型工业企业实收资本,食品加工业大中型工业企业实收资本,饮料制造业大中型工业企业实收资本,黑色金属冶炼及压延加工业大中型工业企业实收资本,黑色金属矿采选业大中型工业企业实收资本
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,470.23276,1557.70861,141.14003,0.08528,49.98205,1333.30668,380.91145,418.06961,145.05999,215.19496,21409.5308,30.4172,45.01236,758.13628,590.76529,84.84693,142.01257,78.2084,79.94057,163.17069,287.62596,221.7678,878.21866,3013.27163,1007.96063,759.89552,66.31494,611.87822,1694.75606,738.13371,369.30545,312.56909,243.1834,825.35853,129.46494,284.55442,340.15258,492.9943,2189.85651,101.44389
2001年,497.52292,1899.87149,176.05646,0.08528,65.90949,1685.76063,365.54119,515.38542,176.98918,273.16581,24841.86212,36.44131,53.74058,826.80723,610.33229,79.97829,173.86713,94.80106,78.47499,197.65569,303.00619,234.41912,1062.39791,3401.55749,1443.26371,886.67879,88.93992,754.16967,1807.40469,823.51723,381.19003,469.22107,330.66939,986.21243,151.3749,338.03846,386.14924,549.68105,2379.73342,100.87023
2002年,536.5594,2036.37159,193.636,0.08528,73.29602,1900.61197,354.64053,638.29012,178.3253,341.85764,26445.81532,36.72397,58.20783,873.98838,628.88848,83.45278,178.992,107.38746,78.03493,217.05918,305.90847,247.51342,1422.78035,3572.27523,1708.02229,905.08636,92.1539,834.13537,1822.43372,868.03624,411.86559,502.16745,345.69371,1052.10106,152.32737,373.17862,412.66662,593.46092,2037.02849,108.41841
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
