,专用设备制造业大中型工业企业财务费用,交通运输设备制造业大中型工业企业财务费用,仪器仪表及文化办公用机械制造业大中型工业企业财务费用,其他矿采选业大中型工业企业财务费用,其它制造业大中型工业企业财务费用,化学原料及化学制品制造业大中型工业企业财务费用,化学纤维制造业大中型工业企业财务费用,医药制造业大中型工业企业财务费用,印刷业、记录媒介的复制大中型工业企业财务费用,塑料制品业大中型工业企业财务费用,大中型工业企业财务费用,家具制造业大中型工业企业财务费用,文教体育用品制造业大中型工业企业财务费用,普通机械制造业大中型工业企业财务费用,有色金属冶炼及压延加工业大中型工业企业财务费用,有色金属矿采选业大中型工业企业财务费用,服装及其他纤维制品制造业大中型工业企业财务费用,木材加工及竹、藤、棕、草制品业大中型工业企业财务费用,木材及竹材采运业大中型工业企业财务费用,橡胶制品业大中型工业企业财务费用,烟草加工业大中型工业企业财务费用,煤气生产和供应业大中型工业企业财务费用,煤炭采选业大中型工业企业财务费用,电力、蒸汽、热水的生产和供应业大中型工业企业财务费用,电子及通信设备制造业大中型工业企业财务费用,电气机械及器材制造业大中型工业企业财务费用,皮革、毛皮、羽绒及其制品业大中型工业企业财务费用,石油加工及炼焦业大中型工业企业财务费用,石油和天然气开采业大中型工业企业财务费用,纺织业大中型工业企业财务费用,自来水的生产和供应业大中型工业企业财务费用,造纸及纸制品业大中型工业企业财务费用,金属制品业大中型工业企业财务费用,非金属矿物制造业大中型工业企业财务费用,非金属矿采选业大中型工业企业财务费用,食品制造业大中型工业企业财务费用,食品加工业大中型工业企业财务费用,饮料制造业大中型工业企业财务费用,黑色金属冶炼及压延加工业大中型工业企业财务费用,黑色金属矿采选业大中型工业企业财务费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,32.39234,93.44115,8.15644,0.00229,2.91384,96.62748,26.79968,27.99117,5.30336,14.08231,1313.02644,1.5011,1.67179,48.19875,56.56294,5.94038,7.87452,6.39922,3.71713,11.7279,14.73983,1.74003,31.19113,234.96995,57.98658,52.4753,4.9924,47.30528,49.71421,68.17154,4.75219,25.67029,16.95575,53.3497,4.19539,14.66115,30.61335,22.78075,110.92681,1.70839
