,专用设备制造业大中型工业企业港澳台资本金,交通运输设备制造业大中型工业企业港澳台资本金,仪器仪表及文化办公用机械制造业大中型工业企业港澳台资本金,其他矿采选业大中型工业企业港澳台资本金,其它制造业大中型工业企业港澳台资本金,化学原料及化学制品制造业大中型工业企业港澳台资本金,化学纤维制造业大中型工业企业港澳台资本金,医药制造业大中型工业企业港澳台资本金,印刷业、记录媒介的复制大中型工业企业港澳台资本金,塑料制品业大中型工业企业港澳台资本金,大中型工业企业港澳台资本金,家具制造业大中型工业企业港澳台资本金,文教体育用品制造业大中型工业企业港澳台资本金,普通机械制造业大中型工业企业港澳台资本金,有色金属冶炼及压延加工业大中型工业企业港澳台资本金,有色金属矿采选业大中型工业企业港澳台资本金,服装及其他纤维制品制造业大中型工业企业港澳台资本金,木材加工及竹、藤、棕、草制品业大中型工业企业港澳台资本金,木材及竹材采运业大中型工业企业港澳台资本金,橡胶制品业大中型工业企业港澳台资本金,烟草加工业大中型工业企业港澳台资本金,煤气生产和供应业大中型工业企业港澳台资本金,煤炭采选业大中型工业企业港澳台资本金,电力、蒸汽、热水的生产和供应业大中型工业企业港澳台资本金,电子及通信设备制造业大中型工业企业港澳台资本金,电气机械及器材制造业大中型工业企业港澳台资本金,皮革、毛皮、羽绒及其制品业大中型工业企业港澳台资本金,石油加工及炼焦业大中型工业企业港澳台资本金,石油和天然气开采业大中型工业企业港澳台资本金,纺织业大中型工业企业港澳台资本金,自来水的生产和供应业大中型工业企业港澳台资本金,造纸及纸制品业大中型工业企业港澳台资本金,金属制品业大中型工业企业港澳台资本金,非金属矿物制造业大中型工业企业港澳台资本金,非金属矿采选业大中型工业企业港澳台资本金,食品制造业大中型工业企业港澳台资本金,食品加工业大中型工业企业港澳台资本金,饮料制造业大中型工业企业港澳台资本金,黑色金属冶炼及压延加工业大中型工业企业港澳台资本金,黑色金属矿采选业大中型工业企业港澳台资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,11.07313,44.39293,9.21582,0.0,6.99287,32.99591,55.3585,25.16485,8.36431,32.33913,958.15871,2.88408,16.17029,17.8558,26.56973,0.002,10.60846,8.19065,0.0,14.2085,0.0,0.56057,0.1943,105.16712,91.34208,46.38897,16.83273,11.08049,21.9905,59.36448,2.28552,24.36403,27.9013,59.21384,0.54423,37.28991,25.38659,54.03161,50.63348,0.0
2001年,13.5994,62.30123,14.473,0.0,18.44006,44.44958,48.18986,32.15939,19.79516,56.77886,1467.52631,6.63478,21.17998,20.80149,27.64409,0.23116,25.06418,10.42601,0.0,25.93205,0.64936,0.83557,0.10472,131.66955,145.74356,61.16294,23.04143,34.45541,94.50323,87.01259,1.5594,47.6423,61.29764,106.31991,1.1704,45.41352,38.13185,79.2825,59.43015,0.0
2002年,14.41645,65.20549,16.82076,0.0,18.98898,76.27527,32.40101,32.38356,20.63635,73.92239,1548.98219,5.58944,24.47751,34.29171,37.28992,0.04,25.12258,12.99086,0.0,16.83694,0.01,1.50186,0.10661,128.95668,184.92909,71.76641,28.48966,34.89227,69.42108,86.20878,1.5894,47.42128,62.84173,106.90961,1.13176,39.234,34.92828,84.92832,56.02615,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
