,专用设备制造业大中型工业企业集体资本金,交通运输设备制造业大中型工业企业集体资本金,仪器仪表及文化办公用机械制造业大中型工业企业集体资本金,其他矿采选业大中型工业企业集体资本金,其它制造业大中型工业企业集体资本金,化学原料及化学制品制造业大中型工业企业集体资本金,化学纤维制造业大中型工业企业集体资本金,医药制造业大中型工业企业集体资本金,印刷业、记录媒介的复制大中型工业企业集体资本金,塑料制品业大中型工业企业集体资本金,大中型工业企业集体资本金,家具制造业大中型工业企业集体资本金,文教体育用品制造业大中型工业企业集体资本金,普通机械制造业大中型工业企业集体资本金,有色金属冶炼及压延加工业大中型工业企业集体资本金,有色金属矿采选业大中型工业企业集体资本金,服装及其他纤维制品制造业大中型工业企业集体资本金,木材加工及竹、藤、棕、草制品业大中型工业企业集体资本金,木材及竹材采运业大中型工业企业集体资本金,橡胶制品业大中型工业企业集体资本金,烟草加工业大中型工业企业集体资本金,煤气生产和供应业大中型工业企业集体资本金,煤炭采选业大中型工业企业集体资本金,电力、蒸汽、热水的生产和供应业大中型工业企业集体资本金,电子及通信设备制造业大中型工业企业集体资本金,电气机械及器材制造业大中型工业企业集体资本金,皮革、毛皮、羽绒及其制品业大中型工业企业集体资本金,石油加工及炼焦业大中型工业企业集体资本金,石油和天然气开采业大中型工业企业集体资本金,纺织业大中型工业企业集体资本金,自来水的生产和供应业大中型工业企业集体资本金,造纸及纸制品业大中型工业企业集体资本金,金属制品业大中型工业企业集体资本金,非金属矿物制造业大中型工业企业集体资本金,非金属矿采选业大中型工业企业集体资本金,食品制造业大中型工业企业集体资本金,食品加工业大中型工业企业集体资本金,饮料制造业大中型工业企业集体资本金,黑色金属冶炼及压延加工业大中型工业企业集体资本金,黑色金属矿采选业大中型工业企业集体资本金
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,44.1087,51.71092,7.42042,0.0,13.2701,50.12727,24.2471,18.49383,12.85849,36.38301,907.50093,7.20584,4.42013,40.31315,27.28193,3.92376,31.4016,5.74668,0.03835,9.62801,2.19681,0.045,1.46766,27.38033,27.57822,101.11943,11.83375,5.65673,0.01582,109.76991,4.45583,20.2187,35.96571,61.25462,5.78778,16.06153,33.51801,11.63676,41.93913,0.88961
2001年,30.95739,42.77611,4.37905,0.0,10.37918,60.84866,26.28422,22.54816,9.67483,30.56974,836.26238,4.51037,3.19877,32.46017,15.26136,4.8835,30.97473,6.27178,0.0392,8.98217,1.27229,0.54533,5.85095,33.70557,32.64707,79.58895,8.42539,5.46791,0.52271,93.62737,2.25018,18.15939,35.13998,57.11268,4.1698,22.13545,32.7722,10.06006,46.46357,1.21984
2002年,27.74971,77.52957,2.962,0.0,10.41224,65.28611,13.2027,24.4695,9.42204,27.90784,822.20018,3.23961,2.88105,29.78029,16.05957,4.6269,31.70845,6.1139,0.036,8.22435,1.29613,0.81897,9.8239,30.0683,26.60786,67.42549,6.3469,6.27209,0.0,87.21789,1.66443,18.26769,30.96402,53.89182,1.99993,20.69669,37.4687,10.3376,47.83975,1.58019
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
