,专用设备制造业大中型工业企业出口交货值,交通运输设备制造业大中型工业企业出口交货值,仪器仪表及文化办公用机械制造业大中型工业企业出口交货值,其他矿采选业大中型工业企业出口交货值,其它制造业大中型工业企业出口交货值,化学原料及化学制品制造业大中型工业企业出口交货值,化学纤维制造业大中型工业企业出口交货值,医药制造业大中型工业企业出口交货值,印刷业、记录媒介的复制大中型工业企业出口交货值,塑料制品业大中型工业企业出口交货值,大中型工业企业出口交货值,家具制造业大中型工业企业出口交货值,文教体育用品制造业大中型工业企业出口交货值,普通机械制造业大中型工业企业出口交货值,有色金属冶炼及压延加工业大中型工业企业出口交货值,有色金属矿采选业大中型工业企业出口交货值,服装及其他纤维制品制造业大中型工业企业出口交货值,木材加工及竹、藤、棕、草制品业大中型工业企业出口交货值,木材及竹材采运业大中型工业企业出口交货值,橡胶制品业大中型工业企业出口交货值,烟草加工业大中型工业企业出口交货值,煤气生产和供应业大中型工业企业出口交货值,煤炭采选业大中型工业企业出口交货值,电力、蒸汽、热水的生产和供应业大中型工业企业出口交货值,电子及通信设备制造业大中型工业企业出口交货值,电气机械及器材制造业大中型工业企业出口交货值,皮革、毛皮、羽绒及其制品业大中型工业企业出口交货值,石油加工及炼焦业大中型工业企业出口交货值,石油和天然气开采业大中型工业企业出口交货值,纺织业大中型工业企业出口交货值,自来水的生产和供应业大中型工业企业出口交货值,造纸及纸制品业大中型工业企业出口交货值,金属制品业大中型工业企业出口交货值,非金属矿物制造业大中型工业企业出口交货值,非金属矿采选业大中型工业企业出口交货值,食品制造业大中型工业企业出口交货值,食品加工业大中型工业企业出口交货值,饮料制造业大中型工业企业出口交货值,黑色金属冶炼及压延加工业大中型工业企业出口交货值,黑色金属矿采选业大中型工业企业出口交货值
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,101.94255,348.22235,159.58704,,66.56695,285.8401,43.33109,112.57629,5.22871,118.75922,6422.95194,20.48801,71.28749,218.35411,159.38666,13.16837,273.55003,21.93001,2.16105,100.72058,9.77885,0.7918,76.24309,49.53053,1561.29078,414.78392,192.41792,154.53805,198.77262,767.85683,0.55558,24.72934,201.2043,113.75004,12.51088,47.65481,143.895,23.90776,289.66962,0.01511
