,专用设备制造业大中型工业企业国家资本金,交通运输设备制造业大中型工业企业国家资本金,仪器仪表及文化办公用机械制造业大中型工业企业国家资本金,其他矿采选业大中型工业企业国家资本金,其它制造业大中型工业企业国家资本金,化学原料及化学制品制造业大中型工业企业国家资本金,化学纤维制造业大中型工业企业国家资本金,医药制造业大中型工业企业国家资本金,印刷业、记录媒介的复制大中型工业企业国家资本金,塑料制品业大中型工业企业国家资本金,大中型工业企业国家资本金,家具制造业大中型工业企业国家资本金,文教体育用品制造业大中型工业企业国家资本金,普通机械制造业大中型工业企业国家资本金,有色金属冶炼及压延加工业大中型工业企业国家资本金,有色金属矿采选业大中型工业企业国家资本金,服装及其他纤维制品制造业大中型工业企业国家资本金,木材加工及竹、藤、棕、草制品业大中型工业企业国家资本金,木材及竹材采运业大中型工业企业国家资本金,橡胶制品业大中型工业企业国家资本金,烟草加工业大中型工业企业国家资本金,煤气生产和供应业大中型工业企业国家资本金,煤炭采选业大中型工业企业国家资本金,电力、蒸汽、热水的生产和供应业大中型工业企业国家资本金,电子及通信设备制造业大中型工业企业国家资本金,电气机械及器材制造业大中型工业企业国家资本金,皮革、毛皮、羽绒及其制品业大中型工业企业国家资本金,石油加工及炼焦业大中型工业企业国家资本金,石油和天然气开采业大中型工业企业国家资本金,纺织业大中型工业企业国家资本金,自来水的生产和供应业大中型工业企业国家资本金,造纸及纸制品业大中型工业企业国家资本金,金属制品业大中型工业企业国家资本金,非金属矿物制造业大中型工业企业国家资本金,非金属矿采选业大中型工业企业国家资本金,食品制造业大中型工业企业国家资本金,食品加工业大中型工业企业国家资本金,饮料制造业大中型工业企业国家资本金,黑色金属冶炼及压延加工业大中型工业企业国家资本金,黑色金属矿采选业大中型工业企业国家资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,222.24156,642.33767,43.73271,0.08528,3.88449,726.70827,156.78061,135.79426,75.66275,40.12238,11372.59758,6.33884,5.94087,317.17847,331.7195,63.68594,23.72111,23.61614,77.77047,73.38083,285.34915,213.88981,809.21052,1407.02234,262.22471,161.09539,9.62435,230.004,1458.99218,295.99191,327.69807,138.06009,63.69254,346.01361,101.68568,68.21054,146.59005,185.6436,1751.83159,97.04711
