,专用设备制造业大中型工业企业主营业务成本,交通运输设备制造业大中型工业企业主营业务成本,仪器仪表及文化办公用机械制造业大中型工业企业主营业务成本,其他矿采选业大中型工业企业主营业务成本,其它制造业大中型工业企业主营业务成本,化学原料及化学制品制造业大中型工业企业主营业务成本,化学纤维制造业大中型工业企业主营业务成本,医药制造业大中型工业企业主营业务成本,印刷业、记录媒介的复制大中型工业企业主营业务成本,塑料制品业大中型工业企业主营业务成本,大中型工业企业主营业务成本,家具制造业大中型工业企业主营业务成本,文教体育用品制造业大中型工业企业主营业务成本,普通机械制造业大中型工业企业主营业务成本,有色金属冶炼及压延加工业大中型工业企业主营业务成本,有色金属矿采选业大中型工业企业主营业务成本,服装及其他纤维制品制造业大中型工业企业主营业务成本,木材加工及竹、藤、棕、草制品业大中型工业企业主营业务成本,木材及竹材采运业大中型工业企业主营业务成本,橡胶制品业大中型工业企业主营业务成本,烟草加工业大中型工业企业主营业务成本,煤气生产和供应业大中型工业企业主营业务成本,煤炭采选业大中型工业企业主营业务成本,电力、蒸汽、热水的生产和供应业大中型工业企业主营业务成本,电子及通信设备制造业大中型工业企业主营业务成本,电气机械及器材制造业大中型工业企业主营业务成本,皮革、毛皮、羽绒及其制品业大中型工业企业主营业务成本,石油加工及炼焦业大中型工业企业主营业务成本,石油和天然气开采业大中型工业企业主营业务成本,纺织业大中型工业企业主营业务成本,自来水的生产和供应业大中型工业企业主营业务成本,造纸及纸制品业大中型工业企业主营业务成本,金属制品业大中型工业企业主营业务成本,非金属矿物制造业大中型工业企业主营业务成本,非金属矿采选业大中型工业企业主营业务成本,食品制造业大中型工业企业主营业务成本,食品加工业大中型工业企业主营业务成本,饮料制造业大中型工业企业主营业务成本,黑色金属冶炼及压延加工业大中型工业企业主营业务成本,黑色金属矿采选业大中型工业企业主营业务成本
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,924.84616,3178.29081,320.73668,0.01008,123.20158,2676.81043,770.13296,661.22037,171.68375,456.01995,39768.89,43.91227,114.00868,1184.07903,1082.62479,103.32982,391.50677,146.80912,52.64759,334.79291,582.52333,166.42064,658.32559,4677.15262,3627.28354,1916.73572,260.17023,3580.41875,1343.55476,2057.17176,150.04072,524.71375,523.83523,978.0259,70.57094,471.41403,1218.09755,743.88295,3263.75298,43.5858
2001年,961.84457,3961.43674,430.04943,0.00867,172.06062,3076.69761,654.57697,814.23747,221.38121,575.96185,47033.65,57.72903,139.30898,1332.82339,1223.81734,111.48183,514.83621,163.68076,46.96648,390.37564,662.67557,178.92591,779.0323,5355.78565,5785.97415,2309.41036,314.22965,3681.94788,1276.41733,2194.00336,157.04084,691.31274,633.19801,1169.95885,78.12781,579.8612,1482.52719,793.95412,3833.08634,48.53839
2002年,1131.21786,5077.99531,496.63,0.00202,182.48646,3418.16674,699.31934,954.45572,235.70782,666.78382,53839.14,62.43375,156.99101,1646.76372,1321.81981,121.74932,558.81098,182.19506,44.85311,433.80283,732.9433,218.78572,996.42852,6365.54209,6935.93169,2523.91807,348.22881,3748.95471,1345.3719,2386.20014,174.35218,780.18056,747.33358,1300.89263,91.2254,687.69217,1693.52745,848.81712,4269.34384,54.38908
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
