,专用设备制造业大中型工业企业应交所得税,交通运输设备制造业大中型工业企业应交所得税,仪器仪表及文化办公用机械制造业大中型工业企业应交所得税,其他矿采选业大中型工业企业应交所得税,其它制造业大中型工业企业应交所得税,化学原料及化学制品制造业大中型工业企业应交所得税,化学纤维制造业大中型工业企业应交所得税,医药制造业大中型工业企业应交所得税,印刷业、记录媒介的复制大中型工业企业应交所得税,塑料制品业大中型工业企业应交所得税,大中型工业企业应交所得税,家具制造业大中型工业企业应交所得税,文教体育用品制造业大中型工业企业应交所得税,普通机械制造业大中型工业企业应交所得税,有色金属冶炼及压延加工业大中型工业企业应交所得税,有色金属矿采选业大中型工业企业应交所得税,服装及其他纤维制品制造业大中型工业企业应交所得税,木材加工及竹、藤、棕、草制品业大中型工业企业应交所得税,木材及竹材采运业大中型工业企业应交所得税,橡胶制品业大中型工业企业应交所得税,烟草加工业大中型工业企业应交所得税,煤气生产和供应业大中型工业企业应交所得税,煤炭采选业大中型工业企业应交所得税,电力、蒸汽、热水的生产和供应业大中型工业企业应交所得税,电子及通信设备制造业大中型工业企业应交所得税,电气机械及器材制造业大中型工业企业应交所得税,皮革、毛皮、羽绒及其制品业大中型工业企业应交所得税,石油加工及炼焦业大中型工业企业应交所得税,石油和天然气开采业大中型工业企业应交所得税,纺织业大中型工业企业应交所得税,自来水的生产和供应业大中型工业企业应交所得税,造纸及纸制品业大中型工业企业应交所得税,金属制品业大中型工业企业应交所得税,非金属矿物制造业大中型工业企业应交所得税,非金属矿采选业大中型工业企业应交所得税,食品制造业大中型工业企业应交所得税,食品加工业大中型工业企业应交所得税,饮料制造业大中型工业企业应交所得税,黑色金属冶炼及压延加工业大中型工业企业应交所得税,黑色金属矿采选业大中型工业企业应交所得税
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,10.20865,30.04771,3.44938,,1.07835,30.81274,12.29246,17.53596,6.4655,4.23632,540.05764,0.38745,1.57942,12.60967,11.2588,3.44316,4.70067,0.63158,0.71811,2.17056,34.36399,0.73933,7.02262,65.55349,30.69193,19.73053,1.43816,8.82802,84.58889,16.20793,2.10166,7.65489,5.15411,11.67528,1.8239,5.60306,7.3024,24.04755,51.27769,0.25971
