,专用设备制造业大中型工业企业利息支出,交通运输设备制造业大中型工业企业利息支出,仪器仪表及文化办公用机械制造业大中型工业企业利息支出,其他矿采选业大中型工业企业利息支出,其它制造业大中型工业企业利息支出,化学原料及化学制品制造业大中型工业企业利息支出,化学纤维制造业大中型工业企业利息支出,医药制造业大中型工业企业利息支出,印刷业、记录媒介的复制大中型工业企业利息支出,塑料制品业大中型工业企业利息支出,大中型工业企业利息支出,家具制造业大中型工业企业利息支出,文教体育用品制造业大中型工业企业利息支出,普通机械制造业大中型工业企业利息支出,有色金属冶炼及压延加工业大中型工业企业利息支出,有色金属矿采选业大中型工业企业利息支出,服装及其他纤维制品制造业大中型工业企业利息支出,木材加工及竹、藤、棕、草制品业大中型工业企业利息支出,木材及竹材采运业大中型工业企业利息支出,橡胶制品业大中型工业企业利息支出,烟草加工业大中型工业企业利息支出,煤气生产和供应业大中型工业企业利息支出,煤炭采选业大中型工业企业利息支出,电力、蒸汽、热水的生产和供应业大中型工业企业利息支出,电子及通信设备制造业大中型工业企业利息支出,电气机械及器材制造业大中型工业企业利息支出,皮革、毛皮、羽绒及其制品业大中型工业企业利息支出,石油加工及炼焦业大中型工业企业利息支出,石油和天然气开采业大中型工业企业利息支出,纺织业大中型工业企业利息支出,自来水的生产和供应业大中型工业企业利息支出,造纸及纸制品业大中型工业企业利息支出,金属制品业大中型工业企业利息支出,非金属矿物制造业大中型工业企业利息支出,非金属矿采选业大中型工业企业利息支出,食品制造业大中型工业企业利息支出,食品加工业大中型工业企业利息支出,饮料制造业大中型工业企业利息支出,黑色金属冶炼及压延加工业大中型工业企业利息支出,黑色金属矿采选业大中型工业企业利息支出
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,31.63096,86.22475,7.869,0.00218,2.6791,98.99008,26.21909,26.33426,4.91076,12.48184,1281.16899,1.38449,1.44752,48.05563,55.03841,5.62085,7.10002,5.98387,3.61417,12.43916,14.59636,1.96797,30.6394,233.67241,54.32176,49.27161,4.31757,54.80203,40.3104,66.0645,4.46854,23.8491,15.2432,51.3601,3.84571,13.00113,28.64842,21.27402,117.36868,1.57802
2001年,29.10867,77.46725,6.82051,0.00048,2.87401,91.00933,19.64394,29.2467,5.03654,13.51484,1284.59006,1.24808,1.81426,47.2458,40.39993,5.61381,7.42138,5.48139,3.54455,13.88301,26.38438,1.29287,33.89702,299.27979,58.43218,47.64968,4.45613,52.0897,27.1433,57.17215,4.42601,34.59562,16.05069,50.44917,5.58912,12.18477,28.29392,19.67761,92.66864,1.70086
2002年,27.08786,73.83477,6.34255,0.00021,2.40745,98.93336,19.70915,30.94951,5.26401,14.22907,1321.01603,1.56504,1.67962,42.99373,44.15978,6.27939,6.68942,5.13583,3.7865,14.02623,25.36284,2.46983,47.74524,323.87739,56.12147,45.66241,4.30063,48.60946,22.96076,53.52105,6.09918,35.63989,14.81185,47.70972,5.14819,15.84492,28.62381,19.81215,99.68291,1.54249
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
