,专用设备制造业大中型工业企业单位数,交通运输设备制造业大中型工业企业单位数,仪器仪表及文化办公用机械制造业大中型工业企业单位数,其他矿采选业大中型工业企业单位数,其它制造业大中型工业企业单位数,化学原料及化学制品制造业大中型工业企业单位数,化学纤维制造业大中型工业企业单位数,医药制造业大中型工业企业单位数,印刷业、记录媒介的复制大中型工业企业单位数,塑料制品业大中型工业企业单位数,大中型工业企业单位数,家具制造业大中型工业企业单位数,文教体育用品制造业大中型工业企业单位数,普通机械制造业大中型工业企业单位数,有色金属冶炼及压延加工业大中型工业企业单位数,有色金属矿采选业大中型工业企业单位数,服装及其他纤维制品制造业大中型工业企业单位数,木材加工及竹、藤、棕、草制品业大中型工业企业单位数,木材及竹材采运业大中型工业企业单位数,橡胶制品业大中型工业企业单位数,烟草加工业大中型工业企业单位数,煤气生产和供应业大中型工业企业单位数,煤炭采选业大中型工业企业单位数,电力、蒸汽、热水的生产和供应业大中型工业企业单位数,电子及通信设备制造业大中型工业企业单位数,电气机械及器材制造业大中型工业企业单位数,皮革、毛皮、羽绒及其制品业大中型工业企业单位数,石油加工及炼焦业大中型工业企业单位数,石油和天然气开采业大中型工业企业单位数,纺织业大中型工业企业单位数,自来水的生产和供应业大中型工业企业单位数,造纸及纸制品业大中型工业企业单位数,金属制品业大中型工业企业单位数,非金属矿物制造业大中型工业企业单位数,非金属矿采选业大中型工业企业单位数,食品制造业大中型工业企业单位数,食品加工业大中型工业企业单位数,饮料制造业大中型工业企业单位数,黑色金属冶炼及压延加工业大中型工业企业单位数,黑色金属矿采选业大中型工业企业单位数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,1109.0,1286.0,321.0,1.0,189.0,1764.0,240.0,712.0,379.0,615.0,21724.0,73.0,112.0,1470.0,370.0,170.0,392.0,162.0,99.0,260.0,140.0,97.0,283.0,1059.0,856.0,1129.0,216.0,119.0,39.0,1889.0,221.0,575.0,616.0,1654.0,178.0,534.0,1108.0,757.0,369.0,45.0
