,专用设备制造业大中型工业企业主营业务税金及附加,交通运输设备制造业大中型工业企业主营业务税金及附加,仪器仪表及文化办公用机械制造业大中型工业企业主营业务税金及附加,其他矿采选业大中型工业企业主营业务税金及附加,其它制造业大中型工业企业主营业务税金及附加,化学原料及化学制品制造业大中型工业企业主营业务税金及附加,化学纤维制造业大中型工业企业主营业务税金及附加,医药制造业大中型工业企业主营业务税金及附加,印刷业、记录媒介的复制大中型工业企业主营业务税金及附加,塑料制品业大中型工业企业主营业务税金及附加,大中型工业企业主营业务税金及附加,家具制造业大中型工业企业主营业务税金及附加,文教体育用品制造业大中型工业企业主营业务税金及附加,普通机械制造业大中型工业企业主营业务税金及附加,有色金属冶炼及压延加工业大中型工业企业主营业务税金及附加,有色金属矿采选业大中型工业企业主营业务税金及附加,服装及其他纤维制品制造业大中型工业企业主营业务税金及附加,木材加工及竹、藤、棕、草制品业大中型工业企业主营业务税金及附加,木材及竹材采运业大中型工业企业主营业务税金及附加,橡胶制品业大中型工业企业主营业务税金及附加,烟草加工业大中型工业企业主营业务税金及附加,煤气生产和供应业大中型工业企业主营业务税金及附加,煤炭采选业大中型工业企业主营业务税金及附加,电力、蒸汽、热水的生产和供应业大中型工业企业主营业务税金及附加,电子及通信设备制造业大中型工业企业主营业务税金及附加,电气机械及器材制造业大中型工业企业主营业务税金及附加,皮革、毛皮、羽绒及其制品业大中型工业企业主营业务税金及附加,石油加工及炼焦业大中型工业企业主营业务税金及附加,石油和天然气开采业大中型工业企业主营业务税金及附加,纺织业大中型工业企业主营业务税金及附加,自来水的生产和供应业大中型工业企业主营业务税金及附加,造纸及纸制品业大中型工业企业主营业务税金及附加,金属制品业大中型工业企业主营业务税金及附加,非金属矿物制造业大中型工业企业主营业务税金及附加,非金属矿采选业大中型工业企业主营业务税金及附加,食品制造业大中型工业企业主营业务税金及附加,食品加工业大中型工业企业主营业务税金及附加,饮料制造业大中型工业企业主营业务税金及附加,黑色金属冶炼及压延加工业大中型工业企业主营业务税金及附加,黑色金属矿采选业大中型工业企业主营业务税金及附加
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,4.59079,74.43265,1.25193,0.00019,0.99179,32.1021,8.14844,6.79095,1.24522,1.72553,1173.45,0.25222,0.5912,6.51133,6.02394,1.12227,1.71673,0.66724,4.30149,15.16179,554.81518,0.59251,12.093,29.84577,7.06242,7.25646,0.46855,165.14005,73.85851,9.95252,1.93529,2.672,1.75251,11.54429,3.67393,2.57695,4.0044,87.35284,25.66978,2.42858
2001年,4.91878,83.05864,1.05608,0.0,1.06427,33.6545,2.57843,7.51193,1.44719,2.70904,1294.65,0.29273,0.65189,6.8322,5.7147,1.06038,2.26657,0.83641,4.10711,11.08884,633.91913,0.78117,14.91237,37.34152,7.82877,8.39384,0.68724,182.80608,70.91093,9.76366,1.73881,2.87714,2.94246,9.51695,3.72276,2.81995,7.27756,95.87692,26.5388,2.56701
2002年,4.98529,100.76992,1.05654,0.0,0.85948,32.67503,2.59487,9.04859,1.52236,1.76558,1471.01,0.18151,0.42956,8.37543,5.91811,1.15436,2.24473,0.73851,3.84621,11.56393,758.17104,0.91789,18.90668,40.19768,8.23486,8.64214,0.56245,190.13132,77.584,9.9332,2.36416,3.12996,2.72403,9.69259,4.21878,2.58764,6.28998,102.71234,31.08833,2.37064
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
