,专用设备制造业大中型工业企业营业利润,交通运输设备制造业大中型工业企业营业利润,仪器仪表及文化办公用机械制造业大中型工业企业营业利润,其他矿采选业大中型工业企业营业利润,其它制造业大中型工业企业营业利润,化学原料及化学制品制造业大中型工业企业营业利润,化学纤维制造业大中型工业企业营业利润,医药制造业大中型工业企业营业利润,印刷业、记录媒介的复制大中型工业企业营业利润,塑料制品业大中型工业企业营业利润,大中型工业企业营业利润,家具制造业大中型工业企业营业利润,文教体育用品制造业大中型工业企业营业利润,普通机械制造业大中型工业企业营业利润,有色金属冶炼及压延加工业大中型工业企业营业利润,有色金属矿采选业大中型工业企业营业利润,服装及其他纤维制品制造业大中型工业企业营业利润,木材加工及竹、藤、棕、草制品业大中型工业企业营业利润,木材及竹材采运业大中型工业企业营业利润,橡胶制品业大中型工业企业营业利润,烟草加工业大中型工业企业营业利润,煤气生产和供应业大中型工业企业营业利润,煤炭采选业大中型工业企业营业利润,电力、蒸汽、热水的生产和供应业大中型工业企业营业利润,电子及通信设备制造业大中型工业企业营业利润,电气机械及器材制造业大中型工业企业营业利润,皮革、毛皮、羽绒及其制品业大中型工业企业营业利润,石油加工及炼焦业大中型工业企业营业利润,石油和天然气开采业大中型工业企业营业利润,纺织业大中型工业企业营业利润,自来水的生产和供应业大中型工业企业营业利润,造纸及纸制品业大中型工业企业营业利润,金属制品业大中型工业企业营业利润,非金属矿物制造业大中型工业企业营业利润,非金属矿采选业大中型工业企业营业利润,食品制造业大中型工业企业营业利润,食品加工业大中型工业企业营业利润,饮料制造业大中型工业企业营业利润,黑色金属冶炼及压延加工业大中型工业企业营业利润,黑色金属矿采选业大中型工业企业营业利润
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,10.77387,111.15613,14.44911,0.00047,4.73805,71.22354,48.21349,80.81661,22.38912,21.61034,2854.8161,2.76181,6.27444,28.50577,51.00388,6.34316,24.27263,0.85842,5.48403,-2.73611,98.45558,-18.28411,-21.42088,424.89182,275.93549,77.10998,5.15466,-30.32626,1194.97214,50.56095,-0.95547,26.06945,18.89192,26.03702,0.86724,24.99192,21.65036,82.23328,111.86494,0.84952
2001年,15.52308,174.79837,19.2028,0.00118,11.70794,23.17634,13.86279,103.55557,30.09248,33.30627,2996.13706,4.32371,7.43734,38.79676,41.20368,4.7123,38.05316,0.34959,3.40292,8.45498,161.90927,-16.3826,9.8906,450.8597,304.51251,117.70373,7.9588,-44.79676,989.62747,32.80991,-0.40238,27.74916,28.18982,35.22856,-0.63423,33.26581,42.11005,88.71641,171.61575,1.14142
2002年,44.45884,341.28291,19.52888,0.00011,7.40366,116.33856,21.42549,131.04102,30.09561,41.51832,3723.86887,3.99986,9.16382,85.75173,50.83214,6.68755,35.41872,0.33722,4.35751,19.01742,197.84631,-14.10405,36.90492,457.38985,325.64392,139.80729,10.5449,39.02716,933.41195,47.85973,-5.80616,56.23138,37.42812,30.03595,1.77932,51.65484,47.24118,96.30911,278.26047,0.60202
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
