,专用设备制造业大中型工业企业销售费用,交通运输设备制造业大中型工业企业销售费用,仪器仪表及文化办公用机械制造业大中型工业企业销售费用,其他矿采选业大中型工业企业销售费用,其它制造业大中型工业企业销售费用,化学原料及化学制品制造业大中型工业企业销售费用,化学纤维制造业大中型工业企业销售费用,医药制造业大中型工业企业销售费用,印刷业、记录媒介的复制大中型工业企业销售费用,塑料制品业大中型工业企业销售费用,大中型工业企业销售费用,家具制造业大中型工业企业销售费用,文教体育用品制造业大中型工业企业销售费用,普通机械制造业大中型工业企业销售费用,有色金属冶炼及压延加工业大中型工业企业销售费用,有色金属矿采选业大中型工业企业销售费用,服装及其他纤维制品制造业大中型工业企业销售费用,木材加工及竹、藤、棕、草制品业大中型工业企业销售费用,木材及竹材采运业大中型工业企业销售费用,橡胶制品业大中型工业企业销售费用,烟草加工业大中型工业企业销售费用,煤气生产和供应业大中型工业企业销售费用,煤炭采选业大中型工业企业销售费用,电力、蒸汽、热水的生产和供应业大中型工业企业销售费用,电子及通信设备制造业大中型工业企业销售费用,电气机械及器材制造业大中型工业企业销售费用,皮革、毛皮、羽绒及其制品业大中型工业企业销售费用,石油加工及炼焦业大中型工业企业销售费用,石油和天然气开采业大中型工业企业销售费用,纺织业大中型工业企业销售费用,自来水的生产和供应业大中型工业企业销售费用,造纸及纸制品业大中型工业企业销售费用,金属制品业大中型工业企业销售费用,非金属矿物制造业大中型工业企业销售费用,非金属矿采选业大中型工业企业销售费用,食品制造业大中型工业企业销售费用,食品加工业大中型工业企业销售费用,饮料制造业大中型工业企业销售费用,黑色金属冶炼及压延加工业大中型工业企业销售费用,黑色金属矿采选业大中型工业企业销售费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,44.73596,109.89659,15.93748,0.0006,4.41469,152.60488,11.18995,178.31966,5.75563,15.37348,1717.38005,3.00587,4.54173,66.20481,18.80873,3.80435,21.34722,5.61401,1.22813,17.36693,11.82814,7.80373,70.95223,9.29482,168.30598,194.09121,6.57416,28.89797,7.53545,38.35096,7.84007,24.68136,28.19631,74.20789,9.81772,68.99881,47.20562,162.04953,60.89056,3.97981
