,专用设备制造业大中型工业企业累计折旧,交通运输设备制造业大中型工业企业累计折旧,仪器仪表及文化办公用机械制造业大中型工业企业累计折旧,其他矿采选业大中型工业企业累计折旧,其它制造业大中型工业企业累计折旧,化学原料及化学制品制造业大中型工业企业累计折旧,化学纤维制造业大中型工业企业累计折旧,医药制造业大中型工业企业累计折旧,印刷业、记录媒介的复制大中型工业企业累计折旧,塑料制品业大中型工业企业累计折旧,大中型工业企业累计折旧,家具制造业大中型工业企业累计折旧,文教体育用品制造业大中型工业企业累计折旧,普通机械制造业大中型工业企业累计折旧,有色金属冶炼及压延加工业大中型工业企业累计折旧,有色金属矿采选业大中型工业企业累计折旧,服装及其他纤维制品制造业大中型工业企业累计折旧,木材加工及竹、藤、棕、草制品业大中型工业企业累计折旧,木材及竹材采运业大中型工业企业累计折旧,橡胶制品业大中型工业企业累计折旧,烟草加工业大中型工业企业累计折旧,煤气生产和供应业大中型工业企业累计折旧,煤炭采选业大中型工业企业累计折旧,电力、蒸汽、热水的生产和供应业大中型工业企业累计折旧,电子及通信设备制造业大中型工业企业累计折旧,电气机械及器材制造业大中型工业企业累计折旧,皮革、毛皮、羽绒及其制品业大中型工业企业累计折旧,石油加工及炼焦业大中型工业企业累计折旧,石油和天然气开采业大中型工业企业累计折旧,纺织业大中型工业企业累计折旧,自来水的生产和供应业大中型工业企业累计折旧,造纸及纸制品业大中型工业企业累计折旧,金属制品业大中型工业企业累计折旧,非金属矿物制造业大中型工业企业累计折旧,非金属矿采选业大中型工业企业累计折旧,食品制造业大中型工业企业累计折旧,食品加工业大中型工业企业累计折旧,饮料制造业大中型工业企业累计折旧,黑色金属冶炼及压延加工业大中型工业企业累计折旧,黑色金属矿采选业大中型工业企业累计折旧
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,385.7295,993.11021,91.0038,0.06003,26.35802,1522.73192,398.54126,228.02161,109.60144,148.37056,20176.60778,14.3106,20.06166,570.29375,492.894,86.13001,75.05514,44.33746,56.38306,117.93927,274.46958,97.24377,854.92319,3877.35361,628.28874,442.58522,40.47252,1056.68381,2389.00951,717.52148,253.15066,194.31572,155.04607,645.85593,74.21855,149.2342,249.98552,297.59611,2216.96061,42.03885
