,专用设备制造业大中型工业企业管理费用,交通运输设备制造业大中型工业企业管理费用,仪器仪表及文化办公用机械制造业大中型工业企业管理费用,其他矿采选业大中型工业企业管理费用,其它制造业大中型工业企业管理费用,化学原料及化学制品制造业大中型工业企业管理费用,化学纤维制造业大中型工业企业管理费用,医药制造业大中型工业企业管理费用,印刷业、记录媒介的复制大中型工业企业管理费用,塑料制品业大中型工业企业管理费用,大中型工业企业管理费用,家具制造业大中型工业企业管理费用,文教体育用品制造业大中型工业企业管理费用,普通机械制造业大中型工业企业管理费用,有色金属冶炼及压延加工业大中型工业企业管理费用,有色金属矿采选业大中型工业企业管理费用,服装及其他纤维制品制造业大中型工业企业管理费用,木材加工及竹、藤、棕、草制品业大中型工业企业管理费用,木材及竹材采运业大中型工业企业管理费用,橡胶制品业大中型工业企业管理费用,烟草加工业大中型工业企业管理费用,煤气生产和供应业大中型工业企业管理费用,煤炭采选业大中型工业企业管理费用,电力、蒸汽、热水的生产和供应业大中型工业企业管理费用,电子及通信设备制造业大中型工业企业管理费用,电气机械及器材制造业大中型工业企业管理费用,皮革、毛皮、羽绒及其制品业大中型工业企业管理费用,石油加工及炼焦业大中型工业企业管理费用,石油和天然气开采业大中型工业企业管理费用,纺织业大中型工业企业管理费用,自来水的生产和供应业大中型工业企业管理费用,造纸及纸制品业大中型工业企业管理费用,金属制品业大中型工业企业管理费用,非金属矿物制造业大中型工业企业管理费用,非金属矿采选业大中型工业企业管理费用,食品制造业大中型工业企业管理费用,食品加工业大中型工业企业管理费用,饮料制造业大中型工业企业管理费用,黑色金属冶炼及压延加工业大中型工业企业管理费用,黑色金属矿采选业大中型工业企业管理费用
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,118.14181,373.88068,38.15977,0.00529,8.98942,270.31223,46.37415,115.82585,29.56816,32.37061,3502.57605,4.77868,9.13234,173.92855,99.94772,26.81396,26.6252,10.04253,19.16603,25.54944,68.13885,15.34683,177.06881,143.18837,233.61022,168.54492,13.18707,149.32802,158.41973,145.13812,30.94366,45.58935,41.6137,127.58338,16.12312,43.26266,59.22111,89.0448,299.56382,8.01764
2001年,119.90072,438.91759,46.3248,0.0022,11.42907,301.41544,32.96088,139.38874,34.8188,38.48604,3947.98613,5.36098,11.3767,188.29755,94.75357,26.48655,34.30641,9.79448,17.59701,31.74511,96.35911,16.56613,211.90023,182.74973,324.51973,195.64231,17.25137,156.50846,170.51591,136.28959,33.34946,53.44745,47.65928,139.86934,18.75238,47.5611,62.12457,93.5917,311.5583,9.13156
2002年,132.26748,517.32551,51.36272,0.00165,11.4486,312.2056,33.90756,158.70226,37.38744,43.31287,4374.63027,6.31853,13.34954,211.26382,87.9577,28.28052,35.17898,11.05117,18.10261,37.63326,122.80393,17.85211,269.26702,224.69264,393.00511,199.43941,19.07086,141.68962,171.39124,139.25942,36.51871,60.10356,52.68275,142.2339,19.03712,59.3225,65.8746,99.35497,339.18254,12.40891
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
