,专用设备制造业大中型工业企业所有者权益合计,交通运输设备制造业大中型工业企业所有者权益合计,仪器仪表及文化办公用机械制造业大中型工业企业所有者权益合计,其他矿采选业大中型工业企业所有者权益合计,其它制造业大中型工业企业所有者权益合计,化学原料及化学制品制造业大中型工业企业所有者权益合计,化学纤维制造业大中型工业企业所有者权益合计,医药制造业大中型工业企业所有者权益合计,印刷业、记录媒介的复制大中型工业企业所有者权益合计,塑料制品业大中型工业企业所有者权益合计,大中型工业企业所有者权益合计,家具制造业大中型工业企业所有者权益合计,文教体育用品制造业大中型工业企业所有者权益合计,普通机械制造业大中型工业企业所有者权益合计,有色金属冶炼及压延加工业大中型工业企业所有者权益合计,有色金属矿采选业大中型工业企业所有者权益合计,服装及其他纤维制品制造业大中型工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业大中型工业企业所有者权益合计,木材及竹材采运业大中型工业企业所有者权益合计,橡胶制品业大中型工业企业所有者权益合计,烟草加工业大中型工业企业所有者权益合计,煤气生产和供应业大中型工业企业所有者权益合计,煤炭采选业大中型工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业大中型工业企业所有者权益合计,电子及通信设备制造业大中型工业企业所有者权益合计,电气机械及器材制造业大中型工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业大中型工业企业所有者权益合计,石油加工及炼焦业大中型工业企业所有者权益合计,石油和天然气开采业大中型工业企业所有者权益合计,纺织业大中型工业企业所有者权益合计,自来水的生产和供应业大中型工业企业所有者权益合计,造纸及纸制品业大中型工业企业所有者权益合计,金属制品业大中型工业企业所有者权益合计,非金属矿物制造业大中型工业企业所有者权益合计,非金属矿采选业大中型工业企业所有者权益合计,食品制造业大中型工业企业所有者权益合计,食品加工业大中型工业企业所有者权益合计,饮料制造业大中型工业企业所有者权益合计,黑色金属冶炼及压延加工业大中型工业企业所有者权益合计,黑色金属矿采选业大中型工业企业所有者权益合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,736.45007,2454.9662,195.06311,0.12218,59.06837,2225.29811,632.59788,814.76152,223.27573,316.50058,35165.58,42.65105,74.86145,1181.10848,757.5448,123.26121,242.37119,93.79079,94.75753,229.26491,1005.4758,281.53632,1155.28648,5814.13987,2054.36571,1194.98906,83.3727,1279.75947,2410.44899,1033.78662,665.15041,492.00817,302.40798,1124.00492,171.97025,341.54568,429.84296,848.8255,3646.79074,138.8221
2001年,721.87688,2892.50325,256.06642,0.12217,92.79407,2544.03669,536.17355,1046.25345,262.2751,403.33969,40898.91,53.28159,87.56392,1225.40689,886.06919,125.16924,307.05134,115.80063,98.15971,268.72015,1166.98761,296.54145,1344.89177,6492.63931,2850.7248,1478.52785,115.99723,1415.74661,2571.60973,1187.18726,708.32219,661.51069,411.27257,1311.54379,243.48521,415.22095,539.55322,1006.54588,4429.42344,137.2464
2002年,754.9418,3154.58333,272.33453,0.12218,94.41867,2901.04969,515.89497,1192.67981,296.7073,479.30954,43524.43,55.60504,94.39652,1269.28515,940.08926,118.4481,323.57141,126.69602,98.51977,305.64898,1328.05231,308.57264,1814.32421,7028.68952,3122.73939,1561.60071,121.62038,1355.75537,2768.39108,1238.35326,811.3828,692.69178,428.11198,1377.79731,206.97562,499.79646,615.35926,1061.6518,3824.32937,148.88681
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
