,专用设备制造业大中型工业企业负债合计,交通运输设备制造业大中型工业企业负债合计,仪器仪表及文化办公用机械制造业大中型工业企业负债合计,其他矿采选业大中型工业企业负债合计,其它制造业大中型工业企业负债合计,化学原料及化学制品制造业大中型工业企业负债合计,化学纤维制造业大中型工业企业负债合计,医药制造业大中型工业企业负债合计,印刷业、记录媒介的复制大中型工业企业负债合计,塑料制品业大中型工业企业负债合计,大中型工业企业负债合计,家具制造业大中型工业企业负债合计,文教体育用品制造业大中型工业企业负债合计,普通机械制造业大中型工业企业负债合计,有色金属冶炼及压延加工业大中型工业企业负债合计,有色金属矿采选业大中型工业企业负债合计,服装及其他纤维制品制造业大中型工业企业负债合计,木材加工及竹、藤、棕、草制品业大中型工业企业负债合计,木材及竹材采运业大中型工业企业负债合计,橡胶制品业大中型工业企业负债合计,烟草加工业大中型工业企业负债合计,煤气生产和供应业大中型工业企业负债合计,煤炭采选业大中型工业企业负债合计,电力、蒸汽、热水的生产和供应业大中型工业企业负债合计,电子及通信设备制造业大中型工业企业负债合计,电气机械及器材制造业大中型工业企业负债合计,皮革、毛皮、羽绒及其制品业大中型工业企业负债合计,石油加工及炼焦业大中型工业企业负债合计,石油和天然气开采业大中型工业企业负债合计,纺织业大中型工业企业负债合计,自来水的生产和供应业大中型工业企业负债合计,造纸及纸制品业大中型工业企业负债合计,金属制品业大中型工业企业负债合计,非金属矿物制造业大中型工业企业负债合计,非金属矿采选业大中型工业企业负债合计,食品制造业大中型工业企业负债合计,食品加工业大中型工业企业负债合计,饮料制造业大中型工业企业负债合计,黑色金属冶炼及压延加工业大中型工业企业负债合计,黑色金属矿采选业大中型工业企业负债合计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,1418.99838,4098.62633,346.17394,0.1642,110.80244,3912.28261,832.68112,1056.49658,234.14972,502.18749,52083.87,53.31064,87.00609,2081.39182,1402.81401,195.97803,327.46552,193.81889,226.44533,493.65343,741.04517,200.13021,2099.61532,8717.98638,3000.19226,1979.12988,217.23368,1858.81858,1607.63795,2374.30768,343.94171,895.3366,595.97839,1991.20861,276.93352,512.54594,1040.76908,1119.15255,4338.75905,84.56474
2001年,1380.54454,4505.13499,403.74218,0.16078,130.36309,4005.64075,766.31879,1250.07545,275.2842,566.54093,56338.65,63.71723,82.59243,2132.47703,1539.15748,205.99376,380.51115,210.51578,222.12464,524.86873,1092.94122,192.93469,2232.07561,9898.37667,3762.35571,2203.9531,235.148,1897.66214,1488.61445,2347.15837,395.8903,1218.65253,680.33283,2144.44272,244.22552,577.32883,1063.00635,1130.17296,4317.87014,81.84306
2002年,1464.732,4997.23657,412.02027,0.15803,138.36312,4094.67523,734.47689,1358.34646,273.09011,623.11091,59873.02,60.86324,96.9507,2260.08108,1623.92569,210.72473,394.04457,222.43054,226.4281,517.06592,1078.68733,236.33731,2311.26166,10922.32912,4278.54761,2288.41142,248.83963,1806.66743,1533.70229,2406.32729,462.44741,1264.46696,701.75579,2194.37483,293.9252,668.45672,1135.16073,1160.64646,4580.30847,99.03802
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
