,专用设备制造业大中型工业企业产成品,交通运输设备制造业大中型工业企业产成品,仪器仪表及文化办公用机械制造业大中型工业企业产成品,其他矿采选业大中型工业企业产成品,其它制造业大中型工业企业产成品,化学原料及化学制品制造业大中型工业企业产成品,化学纤维制造业大中型工业企业产成品,医药制造业大中型工业企业产成品,印刷业、记录媒介的复制大中型工业企业产成品,塑料制品业大中型工业企业产成品,大中型工业企业产成品,家具制造业大中型工业企业产成品,文教体育用品制造业大中型工业企业产成品,普通机械制造业大中型工业企业产成品,有色金属冶炼及压延加工业大中型工业企业产成品,有色金属矿采选业大中型工业企业产成品,服装及其他纤维制品制造业大中型工业企业产成品,木材加工及竹、藤、棕、草制品业大中型工业企业产成品,木材及竹材采运业大中型工业企业产成品,橡胶制品业大中型工业企业产成品,烟草加工业大中型工业企业产成品,煤气生产和供应业大中型工业企业产成品,煤炭采选业大中型工业企业产成品,电力、蒸汽、热水的生产和供应业大中型工业企业产成品,电子及通信设备制造业大中型工业企业产成品,电气机械及器材制造业大中型工业企业产成品,皮革、毛皮、羽绒及其制品业大中型工业企业产成品,石油加工及炼焦业大中型工业企业产成品,石油和天然气开采业大中型工业企业产成品,纺织业大中型工业企业产成品,自来水的生产和供应业大中型工业企业产成品,造纸及纸制品业大中型工业企业产成品,金属制品业大中型工业企业产成品,非金属矿物制造业大中型工业企业产成品,非金属矿采选业大中型工业企业产成品,食品制造业大中型工业企业产成品,食品加工业大中型工业企业产成品,饮料制造业大中型工业企业产成品,黑色金属冶炼及压延加工业大中型工业企业产成品,黑色金属矿采选业大中型工业企业产成品
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,186.3718,322.63854,35.4363,0.02858,20.3807,262.39822,52.82423,113.65178,16.32674,50.35522,3614.85864,6.53636,8.34277,247.86514,93.10038,13.35499,53.97766,18.48198,13.41834,69.67658,15.62991,7.34298,74.78531,18.41621,323.85465,279.99954,34.54247,127.08342,34.10162,298.07106,1.1761,76.48919,75.16392,166.5531,18.95452,39.86988,96.67451,95.88615,209.28201,5.60696
2001年,186.30213,364.88315,43.27276,0.01327,21.11308,259.95135,52.52771,131.94454,19.28961,55.94219,3941.90333,8.34841,11.44221,255.06452,110.3168,13.75567,68.39345,21.18808,11.75705,72.13924,32.2554,3.65819,65.89997,8.9864,340.85701,332.37378,42.46885,109.84803,42.97149,329.28895,1.63052,92.52136,91.98374,186.79522,20.56148,50.50329,126.52897,99.59611,222.31719,5.03276
2002年,193.02152,419.87948,47.89412,0.01335,23.02511,267.35288,40.81516,144.45505,22.76621,62.39441,3995.82449,7.27992,14.1108,293.67754,97.22326,11.98524,64.82332,19.47748,11.4876,68.78384,42.61844,3.3313,62.95317,10.80308,360.48684,321.35497,35.78033,109.81891,38.14033,287.67944,2.48124,94.50591,87.03945,178.80359,19.88878,54.5964,125.53194,104.62851,215.2114,5.93615
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
