,专用设备制造业大中型工业企业资产总计,交通运输设备制造业大中型工业企业资产总计,仪器仪表及文化办公用机械制造业大中型工业企业资产总计,其他矿采选业大中型工业企业资产总计,其它制造业大中型工业企业资产总计,化学原料及化学制品制造业大中型工业企业资产总计,化学纤维制造业大中型工业企业资产总计,医药制造业大中型工业企业资产总计,印刷业、记录媒介的复制大中型工业企业资产总计,塑料制品业大中型工业企业资产总计,大中型工业企业资产总计,家具制造业大中型工业企业资产总计,文教体育用品制造业大中型工业企业资产总计,普通机械制造业大中型工业企业资产总计,有色金属冶炼及压延加工业大中型工业企业资产总计,有色金属矿采选业大中型工业企业资产总计,服装及其他纤维制品制造业大中型工业企业资产总计,木材加工及竹、藤、棕、草制品业大中型工业企业资产总计,木材及竹材采运业大中型工业企业资产总计,橡胶制品业大中型工业企业资产总计,烟草加工业大中型工业企业资产总计,煤气生产和供应业大中型工业企业资产总计,煤炭采选业大中型工业企业资产总计,电力、蒸汽、热水的生产和供应业大中型工业企业资产总计,电子及通信设备制造业大中型工业企业资产总计,电气机械及器材制造业大中型工业企业资产总计,皮革、毛皮、羽绒及其制品业大中型工业企业资产总计,石油加工及炼焦业大中型工业企业资产总计,石油和天然气开采业大中型工业企业资产总计,纺织业大中型工业企业资产总计,自来水的生产和供应业大中型工业企业资产总计,造纸及纸制品业大中型工业企业资产总计,金属制品业大中型工业企业资产总计,非金属矿物制造业大中型工业企业资产总计,非金属矿采选业大中型工业企业资产总计,食品制造业大中型工业企业资产总计,食品加工业大中型工业企业资产总计,饮料制造业大中型工业企业资产总计,黑色金属冶炼及压延加工业大中型工业企业资产总计,黑色金属矿采选业大中型工业企业资产总计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,2160.30195,6573.0181,541.23705,0.28638,169.87081,6137.48284,1465.279,1871.2581,457.51363,818.68807,87309.83,95.96169,161.86754,3262.51843,2160.35881,319.78561,569.83671,287.60968,321.20285,722.91934,1746.52097,481.66653,3254.9018,14534.79826,5054.93533,3174.50231,300.60638,3142.9828,4018.08694,3408.0943,1009.09212,1389.36234,898.38637,3121.55586,448.90377,854.09162,1470.61204,1967.97805,8004.904,223.38684
