,促进农林牧渔业发展限额以上研究与试验发展项目(课题)人员全时当量,促进卫生事业的发展限额以上研究与试验发展项目(课题)人员全时当量,促进工商业发展限额以上研究与试验发展项目(课题)人员全时当量,促进教育事业的发展限额以上研究与试验发展项目(课题)人员全时当量,促进能源的生产、分配和合理利用限额以上研究与试验发展项目(课题)人员全时当量,地球和大气层的探索与利用限额以上研究与试验发展项目(课题)人员全时当量,基础设施以及城市和农村规划限额以上研究与试验发展项目(课题)人员全时当量,民用空间的探测及开发限额以上研究与试验发展项目(课题)人员全时当量,环境保护及污染防治限额以上研究与试验发展项目(课题)人员全时当量,社会发展和社会服务限额以上研究与试验发展项目(课题)人员全时当量,限额以上人文与社会科学研究与试验发展项目(课题)人员全时当量,限额以上农业科学研究与试验发展项目(课题)人员全时当量,限额以上医药科学研究与试验发展项目(课题)人员全时当量,限额以上基础研究研究与试验发展项目(课题)人员全时当量,限额以上工程与技术科学研究与试验发展项目(课题)人员全时当量,限额以上应用研究研究与试验发展项目(课题)人员全时当量,限额以上研究与试验发展企业委托科技项目(课题)人员全时当量,限额以上研究与试验发展其它科技项目(课题)人员全时当量,限额以上研究与试验发展国家科技项目(课题)人员全时当量,限额以上研究与试验发展地方科技项目(课题)人员全时当量,限额以上研究与试验发展来自国外的科技项目(课题)人员全时当量,限额以上研究与试验发展自选科技项目(课题)人员全时当量,限额以上研究与试验发展项目(课题)人员全时当量,限额以上自然科学研究与试验发展项目(课题)人员全时当量,限额以上试验发展研究与试验发展项目(课题)人员全时当量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,61599.7,109984.4,1043330.0,25135.2,88170.0,11147.3,54271.5,3430.3,49173.5,108775.7,62409.2,55817.5,120303.8,153639.1,1452039.0,284976.6,102931.9,52378.8,349363.0,244285.3,25131.8,1001877.2,1775968.0,85398.5,1337352.3
2010年,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,
