,促进农林牧渔业发展限额以上研究与试验发展项目(课题)经费支出,促进卫生事业的发展限额以上研究与试验发展项目(课题)经费支出,促进工商业发展限额以上研究与试验发展项目(课题)经费支出,促进教育事业的发展限额以上研究与试验发展项目(课题)经费支出,促进能源的生产、分配和合理利用限额以上研究与试验发展项目(课题)经费支出,地球和大气层的探索与利用限额以上研究与试验发展项目(课题)经费支出,基础设施以及城市和农村规划限额以上研究与试验发展项目(课题)经费支出,民用空间的探测及开发限额以上研究与试验发展项目(课题)经费支出,环境保护及污染防治限额以上研究与试验发展项目(课题)经费支出,社会发展和社会服务限额以上研究与试验发展项目(课题)经费支出,限额以上人文与社会科学研究与试验发展项目(课题)经费支出,限额以上农业科学研究与试验发展项目(课题)经费支出,限额以上医药科学研究与试验发展项目(课题)经费支出,限额以上基础研究研究与试验发展项目(课题)经费支出,限额以上工程与技术科学研究与试验发展项目(课题)经费支出,限额以上应用研究研究与试验发展项目(课题)经费支出,限额以上研究与试验发展企业委托科技项目(课题)经费支出,限额以上研究与试验发展其它科技项目(课题)经费支出,限额以上研究与试验发展国家科技项目(课题)经费支出,限额以上研究与试验发展地方科技项目(课题)经费支出,限额以上研究与试验发展来自国外的科技项目(课题)经费支出,限额以上研究与试验发展自选科技项目(课题)经费支出,限额以上研究与试验发展项目(课题)经费支出,限额以上自然科学研究与试验发展项目(课题)经费支出,限额以上试验发展研究与试验发展项目(课题)经费支出
1978年,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,782341.047995,621827.88,29296912.5631,96483.62,2499033.01727,247021.98,1491620.56487,94328.23,1179620.87771,2012462.99062,315846.59,723774.5,691603.48,1732099.29078,40631853.0538,4805014.24559,2687609.61331,1307482.6588,8318775.0551,3499562.7078,966766.162265,27156779.3965,43936975.5938,1573897.97,37399862.0574
2010年,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,
