,中成药制造高技术产业科技活动人员数(大中型工业企业口径),仪器仪表制造业高技术产业科技活动人员数(大中型工业企业口径),其他电子设备制造高技术产业科技活动人员数(大中型工业企业口径),化学药品制造高技术产业科技活动人员数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业科技活动人员数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业科技活动人员数(大中型工业企业口径),医药制造业高技术产业科技活动人员数(大中型工业企业口径),家用视听设备制造业高技术产业科技活动人员数(大中型工业企业口径),广播电视设备制造业高技术产业科技活动人员数(大中型工业企业口径),生物、生化制品的制造高技术产业科技活动人员数(大中型工业企业口径),电子元件制造业高技术产业科技活动人员数(大中型工业企业口径),电子及通信设备制造业高技术产业科技活动人员数(大中型工业企业口径),电子器件制造业高技术产业科技活动人员数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业科技活动人员数(大中型工业企业口径),电子计算机外部设备制造业高技术产业科技活动人员数(大中型工业企业口径),电子计算机整机制造业高技术产业科技活动人员数(大中型工业企业口径),航空航天器制造业高技术产业科技活动人员数(大中型工业企业口径),通信设备制造业高技术产业科技活动人员数(大中型工业企业口径),雷达及配套设备制造业高技术产业科技活动人员数(大中型工业企业口径),高技术产业科技活动人员数(大中型工业企业口径)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,9527,24486,5756,18985,2217,26703,40009,14090,1126,2902,15794,113217,22216,18249,7727,8917,75490,45631,8604,0
2002年,11283,19570,4129,28241,2616,22186,53275,13570,1418,3298,20269,114189,23822,16490,6819,7630,68119,44608,6373,0
2003年,11748,20561,4790,16925,2387,22948,44561,18112,942,2533,27478,128068,23381,25886,9086,14138,56554,46932,6433,278017
2004年,14273,15914,1550,14989,2933,18847,46594,22789,1913,3811,29157,136901,23563,34877,9559,19683,52756,53951,3978,289975
2005年,12947,20894,3946,33255,3681,24575,51832,23723,3293,3400,35869,169125,32396,45288,25908,15890,56305,65856,4042,347125
2006年,16004,26016,5077,40449,4636,30652,64278,27329,3910,4087,48049,202406,37714,41442,19553,20307,55209,74573,5754,393987
2007年,18005,33185,6165,45227,6637,39822,73408,31585,6379,5427,60901,255824,42255,52754,23299,22269,56476,100415,8124,478284
2008年,23618,41400,15935,55502,8068,49468,90820,33095,5470,6051,66878,298234,49158,75137,26510,39186,51228,121733,5965,564887
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
