,中成药制造高技术产业技术改造经费支出(大中型工业企业口径),仪器仪表制造业高技术产业技术改造经费支出(大中型工业企业口径),其他电子设备制造高技术产业技术改造经费支出(大中型工业企业口径),化学药品制造高技术产业技术改造经费支出(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业技术改造经费支出(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业技术改造经费支出(大中型工业企业口径),医药制造业高技术产业技术改造经费支出(大中型工业企业口径),家用视听设备制造业高技术产业技术改造经费支出(大中型工业企业口径),广播电视设备制造业高技术产业技术改造经费支出(大中型工业企业口径),生物、生化制品的制造高技术产业技术改造经费支出(大中型工业企业口径),电子元件制造业高技术产业技术改造经费支出(大中型工业企业口径),电子及通信设备制造业高技术产业技术改造经费支出(大中型工业企业口径),电子器件制造业高技术产业技术改造经费支出(大中型工业企业口径),电子计算机及办公设备制造业高技术产业技术改造经费支出(大中型工业企业口径),电子计算机外部设备制造业高技术产业技术改造经费支出(大中型工业企业口径),电子计算机整机制造业高技术产业技术改造经费支出(大中型工业企业口径),航空航天器制造业高技术产业技术改造经费支出(大中型工业企业口径),通信设备制造业高技术产业技术改造经费支出(大中型工业企业口径),雷达及配套设备制造业高技术产业技术改造经费支出(大中型工业企业口径),高技术产业技术改造经费支出(大中型工业企业口径)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,68627.6,53613.2,1550.9,168662.8,11662.7,65275.9,342962.2,104295.4,336.0,19023.4,114080.7,492640.0,171603.6,28849.5,12600.3,15161.5,242613.4,84887.4,15886.0,0.0
2002年,156204.0,57256.0,10032.0,310017.0,18764.0,76020.0,610503.0,71823.0,369.0,24396.0,129609.0,527807.0,213932.0,45314.0,26259.0,15437.0,264701.0,75966.0,26077.0,0.0
2003年,119080.1,54332.5,11845.7,206875.0,14240.5,68573.0,469164.2,72664.6,3010.9,28836.4,162893.0,584796.8,248148.0,85706.0,28044.8,33887.5,342099.5,74428.7,11805.9,1550340.0
2004年,162651.0,74176.0,10167.0,248384.0,10769.0,84945.0,571002.0,151602.0,7226.0,15647.0,352523.0,851234.0,231828.0,82562.0,21826.0,9505.0,289297.0,80008.0,17880.0,1879039.0
2005年,115425.6,101981.5,4316.1,299638.8,12635.2,114616.7,441006.8,102632.2,12355.4,14754.0,233566.4,611918.8,160200.5,53753.1,35000.5,15313.3,368919.0,80989.6,17858.6,1590214.4
2006年,139431.0,150088.6,13233.6,317989.1,31254.4,181343.0,483437.5,79841.2,18231.6,14729.5,183295.8,625210.0,192865.0,105150.8,31095.5,66725.2,323920.1,112054.9,25687.9,1719061.4
2007年,112304.9,163322.8,12354.0,315244.8,41668.2,204991.0,473090.8,164160.4,14353.4,15756.2,288847.5,847536.5,269742.8,61307.7,37359.9,19516.7,522952.4,69450.0,28628.4,2109878.4
2008年,118325.7,180313.9,81034.8,319890.2,17672.6,197986.5,513720.9,308690.3,2197.3,34833.6,266726.4,1038022.8,263182.3,103749.9,52845.6,41280.5,332520.2,96465.8,19725.9,2186000.3
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
