,中成药制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),化学药品制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),医药制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径),高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,2672.704,5157.593,3116.658,4415.284,584.649,5742.242,11403.526,5086.264,282.79,1361.845,3306.512,39606.063,2987.828,5992.15,3423.331,2375.145,19131.494,22487.212,2338.799,
2002年,3427.0,5223.0,2035.0,6750.0,635.0,5859.0,14289.0,4177.0,524.0,1056.0,4420.0,40943.0,4350.0,5952.0,2857.0,1998.0,16657.0,23709.0,1728.0,
2003年,3684.117,5624.711,2297.461,4613.589,685.041,6309.752,13215.378,7197.643,199.542,920.73,6347.346,49380.372,5121.444,10374.226,3522.82,5624.644,13219.635,26683.097,1533.839,92499.0
2004年,2728.26,5197.74,228.19,3644.42,1254.38,6452.12,10750.59,8034.3,577.0,1043.67,4454.05,48494.91,5710.02,11593.97,3624.25,5134.77,14861.92,28083.74,1407.61,92153.51
2005年,4269.2,8010.13,1257.22,10186.63,1078.16,9088.29,16139.16,8813.11,1518.01,1312.67,11000.15,81906.83,11210.14,14987.3,7433.61,6837.54,19251.3,46449.96,1658.24,141372.88
2006年,4966.47,9851.85,1667.01,12726.64,2127.43,11979.28,20374.58,9339.25,1353.38,1529.01,11745.64,85157.47,11706.52,14791.42,8674.34,5931.28,20841.44,46149.8,3195.87,153144.19
2007年,6519.0,12395.0,1821.0,15558.0,2935.0,15330.0,25377.0,12503.0,2236.0,2294.0,17776.0,125333.0,14991.0,27212.0,8817.0,14206.0,20570.0,73149.0,2856.0,213822.0
2008年,9049.85,15679.89,7946.47,19123.16,2662.96,18342.85,32093.98,10045.75,1892.67,2042.97,18270.14,146133.88,16561.67,26506.18,8431.52,12959.27,14768.32,88841.0,2576.18,237845.21
2009年,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
