,中成药制造高技术产业科技活动经费支出(大中型工业企业口径),仪器仪表制造业高技术产业科技活动经费支出(大中型工业企业口径),其他电子设备制造高技术产业科技活动经费支出(大中型工业企业口径),化学药品制造高技术产业科技活动经费支出(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业科技活动经费支出(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业科技活动经费支出(大中型工业企业口径),医药制造业高技术产业科技活动经费支出(大中型工业企业口径),家用视听设备制造业高技术产业科技活动经费支出(大中型工业企业口径),广播电视设备制造业高技术产业科技活动经费支出(大中型工业企业口径),生物、生化制品的制造高技术产业科技活动经费支出(大中型工业企业口径),电子元件制造业高技术产业科技活动经费支出(大中型工业企业口径),电子及通信设备制造业高技术产业科技活动经费支出(大中型工业企业口径),电子器件制造业高技术产业科技活动经费支出(大中型工业企业口径),电子计算机及办公设备制造业高技术产业科技活动经费支出(大中型工业企业口径),电子计算机外部设备制造业高技术产业科技活动经费支出(大中型工业企业口径),电子计算机整机制造业高技术产业科技活动经费支出(大中型工业企业口径),航空航天器制造业高技术产业科技活动经费支出(大中型工业企业口径),通信设备制造业高技术产业科技活动经费支出(大中型工业企业口径),雷达及配套设备制造业高技术产业科技活动经费支出(大中型工业企业口径),高技术产业科技活动经费支出(大中型工业企业口径)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,91500.0,85289.8,43495.0,97740.6,24660.7,109950.5,316777.5,305856.3,3512.0,43879.2,122848.9,1599800.4,203239.4,261554.4,123666.5,129264.1,300369.0,892797.0,28051.8,0.0
2002年,126209.0,94924.0,35063.0,158290.0,21064.0,115987.0,431388.0,349682.0,6151.0,31459.0,148600.0,1819381.0,249156.0,383543.0,122463.0,242384.0,419890.0,999732.0,30996.0,0.0
2003年,153371.8,115184.4,94208.4,175169.6,23602.9,138787.3,527348.6,394327.4,8738.8,32612.7,238386.7,2151159.4,328503.1,747950.2,191262.5,519828.2,424878.3,1051746.6,35248.4,3990123.0
2004年,223224.0,138047.0,12739.0,198598.0,30327.0,168373.0,613700.0,558358.0,29075.0,28116.0,481902.0,2848921.0,497827.0,811554.0,163932.0,536980.0,467881.0,1236601.0,32419.0,4910429.0
2005年,183002.2,242380.2,32717.4,503354.7,44381.3,286761.5,768072.6,733318.5,35630.5,50130.9,457299.5,3379227.6,652922.5,831658.9,362506.1,426374.8,490127.1,1427237.8,40101.4,5755847.7
2006年,251279.5,297087.8,46714.5,606864.8,69826.3,366914.1,947864.5,734257.8,56586.9,58131.8,799137.2,4067019.6,815079.9,1041921.1,448507.5,561851.8,615531.5,1528971.3,86272.0,7039250.8
2007年,273221.6,439096.7,81902.8,726795.1,105818.4,544915.1,1169416.6,803037.7,52580.9,93700.7,1178313.4,5153422.6,967061.4,1251061.9,562680.7,504968.5,749436.8,1917796.9,152729.5,8868253.0
2008年,285935.8,543473.7,183696.3,868991.2,144688.8,688162.5,1343599.2,888207.8,68895.6,113596.0,986605.3,5705013.9,1112221.8,1468869.3,647037.9,660284.8,913529.4,2393903.6,71483.5,10119174.3
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
