,中成药制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),化学药品制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),医药制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),高技术产业研究与试验发展人员全时当量(大中型工业企业口径)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7838
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1573
2001年,0.382345,0.7675909,0.3333702,0.6030849,0.0636602,0.8312511,1.5229409,0.6584239,0.031971,0.166542,0.5480258,4.9250215,0.5398674,0.6701834,0.3873968,0.2510995,3.209629,2.4719542,0.341409,0.0
2002年,0.4522,0.6858,0.2284,0.8532,0.0994,0.7852,1.8287,0.5729,0.0563,0.1401,0.652,4.9675,0.6328,0.6602,0.3205,0.2131,3.6112,2.6129,0.2122,0.0
2003年,0.4884151,0.7287952,0.2518076,0.6529003,0.0840275,0.8128227,1.7518134,1.060004,0.0251087,0.1146547,1.002527,6.164336,0.7486179,1.2393462,0.4346535,0.6537374,2.8165327,2.9052715,0.1709993,12.7847
2004年,0.371021,0.73609,0.03136,0.489578,0.142075,0.878165,1.393072,1.151241,0.073514,0.123516,0.728469,6.051443,0.895372,1.357764,0.467528,0.576924,2.402559,3.005647,0.16584,12.083003
2005年,0.497577,0.986962,0.140665,1.257375,0.126246,1.113208,1.958438,1.15731,0.173964,0.153351,1.367232,9.509124,1.52112,1.748375,0.894266,0.745181,2.986993,4.967883,0.18095,17.3161
2006年,0.574755,1.146111,0.194367,1.667061,0.235352,1.381463,2.539104,1.14243,0.150194,0.170642,1.657691,9.781573,1.431753,2.459128,1.11711,1.307935,2.737386,4.857268,0.34787,18.898654
2007年,0.742,1.468,0.2152,1.9302,0.3468,1.8148,3.0778,1.775,0.2492,0.2769,2.3168,14.2408,1.8728,2.9712,1.0267,1.4995,2.7182,7.4887,0.3233,24.8228
2008年,1.0524,1.8775,0.8405,2.4797,0.3485,2.226,4.0192,2.0256,0.2364,0.2717,2.4912,17.223,2.0508,3.1052,1.4994,1.4232,1.9346,9.2972,0.2813,28.5079
2009年,1.1766,2.1878,0.8363,3.1457,0.5523,2.7401,5.1108,1.4945,0.3073,0.5186,3.49,18.3062,3.2278,3.5427,1.6366,1.7075,2.3034,8.5735,0.3768,32.0033
2010年,1.0459,2.82671,0.58224,3.72907,0.73033,3.55704,5.52338,2.14216,0.21298,0.53742,4.7274,21.1512,3.19289,6.85095,4.16107,2.22249,2.82491,9.85103,0.44251,39.90749
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6718
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3
