,中国对中非承包工程派出人数,中国对乌干达承包工程派出人数,中国对乍得承包工程派出人数,中国对佛得角承包工程派出人数,中国对冈比亚承包工程派出人数,中国对几内亚(比绍)承包工程派出人数,中国对几内亚承包工程派出人数,中国对刚果(布)承包工程派出人数,中国对刚果(金)承包工程派出人数,中国对利比亚承包工程派出人数,中国对利比里亚承包工程派出人数,中国对加纳承包工程派出人数,中国对加蓬承包工程派出人数,中国对南苏丹承包工程派出人数,中国对南非承包工程派出人数,中国对博茨瓦纳承包工程派出人数,中国对卢旺达承包工程派出人数,中国对厄立特里亚承包工程派出人数,中国对吉布提承包工程派出人数,中国对喀麦隆承包工程派出人数,中国对圣多美和普林西比承包工程派出人数,中国对坦桑尼亚承包工程派出人数,中国对埃及承包工程派出人数,中国对埃塞俄比亚承包工程派出人数,中国对塞内加尔承包工程派出人数,中国对塞拉利昂承包工程派出人数,中国对塞舌尔承包工程派出人数,中国对多哥承包工程派出人数,中国对安哥拉承包工程派出人数,中国对尼日利亚承包工程派出人数,中国对尼日尔承包工程派出人数,中国对布基纳法索承包工程派出人数,中国对布隆迪承包工程派出人数,中国对摩洛哥承包工程派出人数,中国对斯威士兰承包工程派出人数,中国对毛里塔尼亚承包工程派出人数,中国对毛里求斯承包工程派出人数,中国对津巴布韦承包工程派出人数,中国对科摩罗承包工程派出人数,中国对科特迪瓦承包工程派出人数,中国对突尼斯承包工程派出人数,中国对索马里承包工程派出人数,中国对纳米比亚承包工程派出人数,中国对肯尼亚承包工程派出人数,中国对苏丹承包工程派出人数,中国对莫桑比克承包工程派出人数,中国对莱索托承包工程派出人数,中国对贝宁承包工程派出人数,中国对赞比亚承包工程派出人数,中国对赤道几内亚承包工程派出人数,中国对阿尔及利亚承包工程派出人数,中国对非洲承包工程派出人数,中国对马拉维承包工程派出人数,中国对马达加斯加承包工程派出人数,中国对马里承包工程派出人数
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,288.0,501.0,2656.0,12.0,,102.0,319.0,1543.0,2854.0,2828.0,192.0,930.0,1142.0,148.0,741.0,4089.0,72.0,153.0,185.0,956.0,,2767.0,1361.0,4997.0,1143.0,284.0,210.0,167.0,19954.0,4247.0,1892.0,3.0,159.0,1173.0,4.0,697.0,1040.0,468.0,64.0,95.0,160.0,2.0,238.0,1497.0,8545.0,611.0,117.0,163.0,3431.0,8717.0,14641.0,100021.0,230.0,577.0,656.0
2012年,100.0,577.0,2018.0,112.0,14.0,181.0,901.0,3326.0,1835.0,146.0,891.0,1368.0,1103.0,,1540.0,683.0,99.0,50.0,15.0,2136.0,5.0,2315.0,691.0,3695.0,356.0,365.0,208.0,890.0,17445.0,3163.0,330.0,,109.0,393.0,,951.0,1265.0,292.0,104.0,206.0,146.0,,231.0,1669.0,5872.0,1207.0,286.0,392.0,4296.0,4942.0,19829.0,90249.0,212.0,281.0,544.0
2013年,5.0,593.0,2168.0,35.0,32.0,156.0,1297.0,5995.0,2436.0,498.0,771.0,1923.0,1985.0,386.0,489.0,869.0,546.0,191.0,77.0,2393.0,4.0,3610.0,851.0,3202.0,393.0,456.0,218.0,779.0,24662.0,3778.0,813.0,119.0,75.0,269.0,,587.0,863.0,462.0,75.0,870.0,774.0,,405.0,2312.0,5932.0,2962.0,451.0,695.0,2733.0,6084.0,23566.0,111959.0,152.0,139.0,823.0
2014年,325.0,1915.0,1951.0,85.0,42.0,344.0,1647.0,6308.0,3004.0,774.0,504.0,1105.0,2407.0,504.0,2413.0,439.0,607.0,227.0,14.0,2589.0,1.0,3132.0,159.0,8858.0,722.0,622.0,124.0,543.0,15017.0,4904.0,1554.0,75.0,399.0,271.0,,608.0,441.0,292.0,41.0,298.0,741.0,,949.0,1747.0,4196.0,3227.0,288.0,338.0,3040.0,5117.0,21985.0,107842.0,120.0,155.0,659.0
