,中国对加拿大承包工程派出人数,中国对北美洲其他国家(地区)承包工程派出人数,中国对北美洲承包工程派出人数,中国对格陵兰承包工程派出人数,中国对百慕大承包工程派出人数,中国对美国承包工程派出人数
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,,,,,,
2005年,,,,,,
2006年,,,,,,
2007年,,,,,,
2008年,,,,,,
2009年,,,,,,
2010年,,,,,,
2011年,96.0,,477.0,3.0,,378.0
2012年,97.0,,205.0,,,108.0
2013年,44.0,,814.0,,,770.0
2014年,26.0,,367.0,,,341.0
