,中国实际利用其它太平洋岛屿外商直接投资金额,中国实际利用大洋洲其他国家(地区)外商直接投资金额,中国实际利用大洋洲及太平洋岛屿外商直接投资金额,中国实际利用库克群岛外商直接投资金额,中国实际利用新西兰外商直接投资金额,中国实际利用澳大利亚外商直接投资金额,中国实际利用瓦努阿图外商直接投资金额,中国实际利用萨摩亚外商直接投资金额,中国实际利用马绍尔群岛外商直接投资金额
1978年,,,,,,,,,
1979年,,,,,,,,,
1980年,,,,,,,,,
1981年,,,,,,,,,
1982年,,,,,,,,,
1983年,,,,,,,,,
1984年,,,,,,,,,
1985年,,,,,,,,,
1986年,,,,,,,,,
1987年,,,,,,,,,
1988年,,,,,,,,,
1989年,,,,,,,,,
1990年,,,,,,,,,
1991年,,,,,,,,,
1992年,,,,,,,,,
1993年,,,,,,,,,
1994年,,,,,,,,,
1995年,,,,,,,,,
1996年,,,,,,,,,
1997年,,,58619.0,123.0,5318.0,31374.0,,18438.0,97.0
1998年,,,53369.0,402.0,2664.0,27197.0,,12654.0,66.0
1999年,,,50920.0,84.0,1839.0,26331.0,,20136.0,159.0
2000年,,,69403.0,25.0,1822.0,30888.0,,28316.0,913.0
2001年,,2351.0,101478.0,728.0,4818.0,33560.0,,54321.0,779.0
2002年,,606.0,104619.0,388.0,4616.0,38070.0,,87947.0,668.0
2003年,,465.0,173119.0,251.0,6577.0,59253.0,,98572.0,1102.0
2004年,,210.0,197437.0,637.0,11528.0,66263.0,,112885.0,1543.0
2005年,,634.0,199898.0,457.0,12991.0,40093.0,171.0,135187.0,4580.0
2006年,,1266.0,226024.0,271.0,8340.0,55189.0,298.0,153754.0,3057.0
2007年,,1239.0,274290.0,2614.0,6391.0,35387.0,283.0,216988.0,7391.0
2008年,889.0,1521.0,316987.0,2030.0,6923.0,40707.0,16.0,254975.0,9456.0
2009年,1147.0,539.0,252877.0,,8495.0,39437.0,147.0,202003.0,1063.0
2010年,1555.0,831.0,232777.0,300.0,14229.0,32501.0,2997.0,177333.0,3031.0
2011年,2331.0,6147.0,261998.0,150.0,7422.0,30953.0,1002.0,207623.0,6370.0
2012年,,,226589.0,134.0,11890.0,33797.0,515.0,174371.0,1676.0
2013年,1048.0,1007.0,232652.0,65.0,6795.0,32967.0,79.0,185807.0,4884.0
2014年,545.0,29.0,189251.0,82.0,4748.0,23853.0,16.0,156383.0,3412.0
