,中国实际利用乌拉圭外商直接投资金额,中国实际利用伯利兹外商直接投资金额,中国实际利用厄瓜多尔外商直接投资金额,中国实际利用古巴外商直接投资金额,中国实际利用哥伦比亚外商直接投资金额,中国实际利用哥斯达黎加外商直接投资金额,中国实际利用圣其茨-尼维斯外商直接投资金额,中国实际利用圣文森特和格林纳丁斯外商直接投资金额,中国实际利用墨西哥外商直接投资金额,中国实际利用多米尼克外商直接投资金额,中国实际利用多米尼加共和国外商直接投资金额,中国实际利用委内瑞拉外商直接投资金额,中国实际利用安提瓜和巴布达外商直接投资金额,中国实际利用巴哈马外商直接投资金额,中国实际利用巴巴多斯外商直接投资金额,中国实际利用巴拉圭外商直接投资金额,中国实际利用巴拿马外商直接投资金额,中国实际利用巴西外商直接投资金额,中国实际利用开曼群岛外商直接投资金额,中国实际利用拉丁美洲外商直接投资金额,中国实际利用拉美洲其他国家(地区)外商直接投资金额,中国实际利用智利外商直接投资金额,中国实际利用洪都拉斯外商直接投资金额,中国实际利用牙买加外商直接投资金额,中国实际利用特克斯和凯科斯岛外商直接投资金额,中国实际利用玻利维亚外商直接投资金额,中国实际利用秘鲁外商直接投资金额,中国实际利用维尔京群岛外商直接投资金额,中国实际利用阿根廷外商直接投资金额
2001年,0,1915,136,19,1234,110,0,0,182,0,1,500,0,5960,1214,117,5785,390,106671,630891,60,133,108,123,0,70,27,504234,1638
2002年,0,2502,27,0,0,598,0,0,731,0,748,203,0,8990,1611,107,4646,1536,117954,1487227,278,1189,106,0,80,607,112,611739,1030
2003年,0,1990,53,1407,47,0,1400,0,555,0,307,128,0,8787,2446,60,3283,1671,86604,690657,610,801,69,10,57,290,90,577696,1889
2004年,0,1033,10,100,10,2,1057,127,2129,35,114,0,0,4800,3129,830,3592,3070,204258,904353,367,339,539,360,127,134,445,673030,3080
2005年,104,2284,76,30,0,60,623,166,710,102,204,276,0,7467,9701,142,4291,2461,194754,1129333,748,636,290,100,350,164,338,902167,1089
2006年,13,2345,10,280,35,10,1007,478,1234,35,164,98,0,8394,53548,158,5956,5560,209546,1416262,560,560,131,79,52,306,73,1124758,686
2007年,10,2421,100,63,5,0,1577,320,566,16,182,209,0,13493,70958,58,2580,3164,257078,2011799,841,719,168,0,114,129,527,1655244,1113
2008年,0,6302,49,0,10,0,1363,507,385,119,5,237,102,35141,125520,215,3539,3879,314497,2090344,369,466,214,29,130,99,267,1595384,1266
2009年,221,1988,26,0,14,0,193,200,91,176,35,198,0,9868,55754,301,1797,5248,258189,1468433,2021,323,0,110,92,338,4,1129858,1241
2010年,132,1673,203,727,5,10,418,246,1525,274,50,358,0,5592,35584,234,2481,5725,249880,1352563,1525,146,301,20,164,460,2,1044734,94
2011年,63,2133,3,2300,1,22,263,13,453,134,6,209,218,3961,31005,0,3845,4304,224196,1250460,1394,1679,260,0,495,189,87,972495,732
2012年,50,1130,1,0,3,0,652,21,1487,103,0,128,0,3731,15988,2013,3281,5760,197540,1018357,0,2075,0,0,25,0,16,783086,830
2013年,158,4204,2,0,38,0,95,111,1580,100,0,66,0,8192,16096,0,2594,2304,166825,820687,256,2094,0,0,40,22,0,615858,52
2014年,215,2208,0,287,0,0,50,0,319,60,0,45,400,8412,7074,0,600,2811,125509,771545,0,625,0,0,17,0,39,622566,305
