,中国实际利用乌拉圭外商直接投资金额,中国实际利用伯利兹外商直接投资金额,中国实际利用厄瓜多尔外商直接投资金额,中国实际利用古巴外商直接投资金额,中国实际利用哥伦比亚外商直接投资金额,中国实际利用哥斯达黎加外商直接投资金额,中国实际利用圣其茨-尼维斯外商直接投资金额,中国实际利用圣文森特和格林纳丁斯外商直接投资金额,中国实际利用墨西哥外商直接投资金额,中国实际利用多米尼克外商直接投资金额,中国实际利用多米尼加共和国外商直接投资金额,中国实际利用委内瑞拉外商直接投资金额,中国实际利用安提瓜和巴布达外商直接投资金额,中国实际利用巴哈马外商直接投资金额,中国实际利用巴巴多斯外商直接投资金额,中国实际利用巴拉圭外商直接投资金额,中国实际利用巴拿马外商直接投资金额,中国实际利用巴西外商直接投资金额,中国实际利用开曼群岛外商直接投资金额,中国实际利用拉丁美洲外商直接投资金额,中国实际利用拉美洲其他国家(地区)外商直接投资金额,中国实际利用智利外商直接投资金额,中国实际利用洪都拉斯外商直接投资金额,中国实际利用牙买加外商直接投资金额,中国实际利用特克斯和凯科斯岛外商直接投资金额,中国实际利用玻利维亚外商直接投资金额,中国实际利用秘鲁外商直接投资金额,中国实际利用维尔京群岛外商直接投资金额,中国实际利用阿根廷外商直接投资金额
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,21,30,0,0,0,0,17,0,0,17,0,498,53,26,7547,116,15844,198139,0,557,143,9,0,1109,229,171717,181
1998年,14,130,87,0,0,510,0,0,198,0,45,86,12,8077,53,70,6990,2021,32423,456213,0,483,287,55,39,510,861,403134,128
1999年,0,0,29,0,228,250,10,0,33,0,2,565,0,4301,392,500,8951,338,37795,320447,0,208,90,300,0,38,272,265896,177
2000年,0,890,0,43,50,548,0,0,93,0,10,37,0,6776,5,30,4263,393,62373,461658,0,44,73,49,322,707,7,383289,1389
