,中国实际利用丹麦外商直接投资金额,中国实际利用乌克兰外商直接投资金额,中国实际利用亚美尼亚外商直接投资金额,中国实际利用俄罗斯外商直接投资金额,中国实际利用保加利亚外商直接投资金额,中国实际利用克罗地亚外商直接投资金额,中国实际利用冰岛外商直接投资金额,中国实际利用列支敦士登外商直接投资金额,中国实际利用匈牙利外商直接投资金额,中国实际利用卢森堡外商直接投资金额,中国实际利用圣马力诺外商直接投资金额,中国实际利用奥地利外商直接投资金额,中国实际利用希腊外商直接投资金额,中国实际利用德国外商直接投资金额,中国实际利用意大利外商直接投资金额,中国实际利用拉脱维亚外商直接投资金额,中国实际利用挪威外商直接投资金额,中国实际利用捷克外商直接投资金额,中国实际利用摩纳哥外商直接投资金额,中国实际利用斯洛伐克外商直接投资金额,中国实际利用斯洛文尼亚外商直接投资金额,中国实际利用欧洲其他国家(地区)外商直接投资金额,中国实际利用欧洲外商直接投资金额,中国实际利用比利时外商直接投资金额,中国实际利用法国外商直接投资金额,中国实际利用波兰外商直接投资金额,中国实际利用爱尔兰外商直接投资金额,中国实际利用爱沙尼亚外商直接投资金额,中国实际利用瑞典外商直接投资金额,中国实际利用瑞士外商直接投资金额,中国实际利用白俄罗斯外商直接投资金额,中国实际利用立陶宛外商直接投资金额,中国实际利用罗马尼亚外商直接投资金额,中国实际利用芬兰外商直接投资金额,中国实际利用英国外商直接投资金额,中国实际利用荷兰外商直接投资金额,中国实际利用葡萄牙外商直接投资金额,中国实际利用西班牙外商直接投资金额,中国实际利用马耳他外商直接投资金额
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,1681,65,0,1800,154,0,10,49,567,100,3,7461,0,99263,21504,0,646,498,0,8,0,0,443899,3326,47465,94,30,0,4284,21567,25,0,377,495,185756,41380,489,3881,28
1998年,6266,46,0,1936,171,0,0,63,1073,1151,0,2113,30,73673,27457,0,2592,507,0,180,0,0,430933,2804,71489,94,0,0,13342,22882,106,0,1441,3930,117486,71882,867,5383,57
