,专用设备制造业规模以上工业企业主营业务收入,交通运输设备制造业规模以上工业企业主营业务收入,仪器仪表及文化办公用机械制造业规模以上工业企业主营业务收入,其他矿采选业规模以上工业企业主营业务收入,其它制造业规模以上工业企业主营业务收入,化学原料及化学制品制造业规模以上工业企业主营业务收入,化学纤维制造业规模以上工业企业主营业务收入,医药制造业规模以上工业企业主营业务收入,印刷业、记录媒介的复制规模以上工业企业主营业务收入,塑料制品业规模以上工业企业主营业务收入,家具制造业规模以上工业企业主营业务收入,文教体育用品制造业规模以上工业企业主营业务收入,普通机械制造业规模以上工业企业主营业务收入,有色金属冶炼及压延加工业规模以上工业企业主营业务收入,有色金属矿采选业规模以上工业企业主营业务收入,服装及其他纤维制品制造业规模以上工业企业主营业务收入,木材加工及竹、藤、棕、草制品业规模以上工业企业主营业务收入,木材及竹材采运业规模以上工业企业主营业务收入,橡胶制品业规模以上工业企业主营业务收入,烟草加工业规模以上工业企业主营业务收入,煤气生产和供应业规模以上工业企业主营业务收入,煤炭采选业规模以上工业企业主营业务收入,电力、蒸汽、热水的生产和供应业规模以上工业企业主营业务收入,电子及通信设备制造业规模以上工业企业主营业务收入,电气机械及器材制造业规模以上工业企业主营业务收入,皮革、毛皮、羽绒及其制品业规模以上工业企业主营业务收入,石油加工及炼焦业规模以上工业企业主营业务收入,石油和天然气开采业规模以上工业企业主营业务收入,纺织业规模以上工业企业主营业务收入,自来水的生产和供应业规模以上工业企业主营业务收入,规模以上工业企业主营业务收入,造纸及纸制品业规模以上工业企业主营业务收入,金属制品业规模以上工业企业主营业务收入,非金属矿物制造业规模以上工业企业主营业务收入,非金属矿采选业规模以上工业企业主营业务收入,食品制造业规模以上工业企业主营业务收入,食品加工业规模以上工业企业主营业务收入,饮料制造业规模以上工业企业主营业务收入,黑色金属冶炼及压延加工业规模以上工业企业主营业务收入,黑色金属矿采选业规模以上工业企业主营业务收入
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,2003.48403,5229.58031,849.58874,2.96948,886.83134,5422.06243,1192.79588,1627.4836,588.0046,1799.7326,344.59168,588.09398,2839.71981,2087.58714,375.18479,2133.01267,620.99515,108.50064,731.77862,1430.75514,234.65046,1213.77438,6819.67264,7363.26799,4527.29192,1238.19297,4571.02532,2914.99426,4810.45364,308.06571,84151.75,1503.0885,2369.78886,3364.17434,323.19702,1353.07356,3477.51758,1647.47348,4887.05325,152.83729
2001年,2158.27946,6220.4601,933.23254,3.84309,986.60037,6033.79859,957.28975,1924.3875,679.24542,2040.59244,409.62263,644.24898,3222.1062,2260.62033,390.48462,2415.97306,676.71874,94.56545,806.02006,1756.96991,252.30529,1503.14691,7712.32752,8899.50826,5099.90203,1427.9057,4629.3359,2658.32192,5209.09548,324.08604,93733.0,1685.39555,2635.48837,3671.10353,344.17587,1519.01637,3823.50771,1727.21413,5600.65002,178.54396
2002年,2630.5222,8030.04431,1089.06407,1.86347,1132.3175,6974.71267,1086.55195,2279.97746,771.6127,2371.52405,492.79758,733.6542,3992.41414,2547.31508,429.28139,2725.50069,771.09566,95.45662,961.84316,1994.36563,322.8117,1960.74835,8958.06593,10957.25241,5749.17402,1677.13332,4893.56913,2640.83038,6038.59085,354.63915,109485.77,1968.06057,3083.61516,4226.61757,393.06031,1827.5512,4515.94455,1872.68693,6471.50696,215.35182
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
