,专用设备制造业规模以上工业企业存货,交通运输设备制造业规模以上工业企业存货,仪器仪表及文化办公用机械制造业规模以上工业企业存货,其他矿采选业规模以上工业企业存货,其它制造业规模以上工业企业存货,化学原料及化学制品制造业规模以上工业企业存货,化学纤维制造业规模以上工业企业存货,医药制造业规模以上工业企业存货,印刷业、记录媒介的复制规模以上工业企业存货,塑料制品业规模以上工业企业存货,家具制造业规模以上工业企业存货,文教体育用品制造业规模以上工业企业存货,普通机械制造业规模以上工业企业存货,有色金属冶炼及压延加工业规模以上工业企业存货,有色金属矿采选业规模以上工业企业存货,服装及其他纤维制品制造业规模以上工业企业存货,木材加工及竹、藤、棕、草制品业规模以上工业企业存货,木材及竹材采运业规模以上工业企业存货,橡胶制品业规模以上工业企业存货,烟草加工业规模以上工业企业存货,煤气生产和供应业规模以上工业企业存货,煤炭采选业规模以上工业企业存货,电力、蒸汽、热水的生产和供应业规模以上工业企业存货,电子及通信设备制造业规模以上工业企业存货,电气机械及器材制造业规模以上工业企业存货,皮革、毛皮、羽绒及其制品业规模以上工业企业存货,石油加工及炼焦业规模以上工业企业存货,石油和天然气开采业规模以上工业企业存货,纺织业规模以上工业企业存货,自来水的生产和供应业规模以上工业企业存货,规模以上工业企业存货,造纸及纸制品业规模以上工业企业存货,金属制品业规模以上工业企业存货,非金属矿物制造业规模以上工业企业存货,非金属矿采选业规模以上工业企业存货,食品制造业规模以上工业企业存货,食品加工业规模以上工业企业存货,饮料制造业规模以上工业企业存货,黑色金属冶炼及压延加工业规模以上工业企业存货,黑色金属矿采选业规模以上工业企业存货
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,737.68175,1390.61608,190.24297,0.44128,167.56262,966.24428,187.97475,379.40574,120.08614,307.04577,75.78658,101.15061,967.54188,457.30371,57.3057,372.03929,119.22189,36.20128,182.00682,340.42144,21.63757,262.72524,230.91028,1376.58276,1002.96321,241.5288,514.68749,103.88994,1133.11683,16.34073,16034.06921,318.76925,502.73623,735.88802,57.13397,212.13285,492.69879,447.94688,1071.31583,27.02349
2001年,736.96363,1509.07623,202.27982,0.34538,181.98775,999.59043,157.4364,427.50746,127.52809,327.85561,84.34603,111.93246,1003.53867,512.50742,55.54605,382.53585,132.8812,32.46621,187.51288,676.45262,20.24942,256.43099,234.61207,1359.56759,1061.57926,253.95346,464.71955,100.03164,1159.50695,18.00813,16934.82049,321.21555,517.38973,768.29704,54.41342,230.4888,524.85906,464.79563,1145.34342,28.1126
2002年,791.33794,1647.92742,215.23804,1.01923,192.00653,1047.24281,154.2079,461.17182,130.10674,357.71122,93.27125,124.09813,1064.45395,527.7698,50.40601,383.53088,135.41982,32.06613,193.04518,735.69905,24.41559,271.95598,268.20624,1506.10009,1093.88969,257.77839,478.79243,110.20854,1176.77865,17.93428,17860.41041,340.36873,558.57226,816.88306,57.98888,254.91859,588.71243,465.43475,1098.08352,31.93473
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
