,专用设备制造业规模以上工业企业资产总计,交通运输设备制造业规模以上工业企业资产总计,仪器仪表及文化办公用机械制造业规模以上工业企业资产总计,其他矿采选业规模以上工业企业资产总计,其它制造业规模以上工业企业资产总计,化学原料及化学制品制造业规模以上工业企业资产总计,化学纤维制造业规模以上工业企业资产总计,医药制造业规模以上工业企业资产总计,印刷业、记录媒介的复制规模以上工业企业资产总计,塑料制品业规模以上工业企业资产总计,家具制造业规模以上工业企业资产总计,文教体育用品制造业规模以上工业企业资产总计,普通机械制造业规模以上工业企业资产总计,有色金属冶炼及压延加工业规模以上工业企业资产总计,有色金属矿采选业规模以上工业企业资产总计,服装及其他纤维制品制造业规模以上工业企业资产总计,木材加工及竹、藤、棕、草制品业规模以上工业企业资产总计,木材及竹材采运业规模以上工业企业资产总计,橡胶制品业规模以上工业企业资产总计,烟草加工业规模以上工业企业资产总计,煤气生产和供应业规模以上工业企业资产总计,煤炭采选业规模以上工业企业资产总计,电力、蒸汽、热水的生产和供应业规模以上工业企业资产总计,电子及通信设备制造业规模以上工业企业资产总计,电气机械及器材制造业规模以上工业企业资产总计,皮革、毛皮、羽绒及其制品业规模以上工业企业资产总计,石油加工及炼焦业规模以上工业企业资产总计,石油和天然气开采业规模以上工业企业资产总计,纺织业规模以上工业企业资产总计,自来水的生产和供应业规模以上工业企业资产总计,规模以上工业企业资产总计,造纸及纸制品业规模以上工业企业资产总计,金属制品业规模以上工业企业资产总计,非金属矿物制造业规模以上工业企业资产总计,非金属矿采选业规模以上工业企业资产总计,食品制造业规模以上工业企业资产总计,食品加工业规模以上工业企业资产总计,饮料制造业规模以上工业企业资产总计,黑色金属冶炼及压延加工业规模以上工业企业资产总计,黑色金属矿采选业规模以上工业企业资产总计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,3255.28711,8129.67722,984.51795,3.16426,736.66684,8688.02668,1808.44456,2798.90297,973.72657,2052.16141,363.47919,516.00721,4787.90265,2866.65489,548.92598,1758.77335,694.93949,401.52837,1118.80969,1973.82483,610.91117,3868.5114,18626.94108,7518.79283,5260.19578,939.09748,3785.90708,4088.12125,5917.00754,1523.19329,126211.24,2511.98779,2545.62951,6113.10791,669.14257,1684.43166,3078.22136,2742.76913,9228.25085,326.0034
2001年,3321.38127,8858.58168,1076.77698,2.72111,810.33586,9039.3576,1531.20077,3281.05488,1114.45361,2265.89884,397.73832,551.57184,5027.39529,3170.4665,555.0711,1905.82492,757.99938,403.56015,1160.94519,2450.41426,621.5476,4274.69491,20485.26555,8469.6666,5763.78018,1005.98069,3941.2195,4240.20412,6196.25745,1662.08587,135403.0,2709.75081,2745.77727,6298.79563,698.84267,1798.90632,3128.84847,2852.58676,9796.22581,341.16784
2002年,3662.62237,9879.16435,1194.17411,3.70591,896.97091,9723.28721,1563.1031,3693.60679,1162.34932,2538.00173,448.58656,629.90128,5399.00806,3383.35706,561.20759,2078.56628,809.14791,407.31292,1249.93265,2567.03905,712.14129,4815.32533,22304.4156,9779.98493,6238.41827,1136.15791,3874.88657,4402.46663,6680.46934,1901.39566,146217.78,2940.16784,2991.50796,6679.60043,727.55784,2081.65139,3414.48978,2975.05898,9597.55515,392.12497
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
