,专用设备制造业规模以上工业企业累计折旧,交通运输设备制造业规模以上工业企业累计折旧,仪器仪表及文化办公用机械制造业规模以上工业企业累计折旧,其他矿采选业规模以上工业企业累计折旧,其它制造业规模以上工业企业累计折旧,化学原料及化学制品制造业规模以上工业企业累计折旧,化学纤维制造业规模以上工业企业累计折旧,医药制造业规模以上工业企业累计折旧,印刷业、记录媒介的复制规模以上工业企业累计折旧,塑料制品业规模以上工业企业累计折旧,家具制造业规模以上工业企业累计折旧,文教体育用品制造业规模以上工业企业累计折旧,普通机械制造业规模以上工业企业累计折旧,有色金属冶炼及压延加工业规模以上工业企业累计折旧,有色金属矿采选业规模以上工业企业累计折旧,服装及其他纤维制品制造业规模以上工业企业累计折旧,木材加工及竹、藤、棕、草制品业规模以上工业企业累计折旧,木材及竹材采运业规模以上工业企业累计折旧,橡胶制品业规模以上工业企业累计折旧,烟草加工业规模以上工业企业累计折旧,煤气生产和供应业规模以上工业企业累计折旧,煤炭采选业规模以上工业企业累计折旧,电力、蒸汽、热水的生产和供应业规模以上工业企业累计折旧,电子及通信设备制造业规模以上工业企业累计折旧,电气机械及器材制造业规模以上工业企业累计折旧,皮革、毛皮、羽绒及其制品业规模以上工业企业累计折旧,石油加工及炼焦业规模以上工业企业累计折旧,石油和天然气开采业规模以上工业企业累计折旧,纺织业规模以上工业企业累计折旧,自来水的生产和供应业规模以上工业企业累计折旧,规模以上工业企业累计折旧,造纸及纸制品业规模以上工业企业累计折旧,金属制品业规模以上工业企业累计折旧,非金属矿物制造业规模以上工业企业累计折旧,非金属矿采选业规模以上工业企业累计折旧,食品制造业规模以上工业企业累计折旧,食品加工业规模以上工业企业累计折旧,饮料制造业规模以上工业企业累计折旧,黑色金属冶炼及压延加工业规模以上工业企业累计折旧,黑色金属矿采选业规模以上工业企业累计折旧
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,548.42134,1181.98349,144.12249,0.43101,90.34695,1883.47761,462.26314,310.9097,204.64672,338.59912,43.49705,67.56434,801.86903,581.18848,125.29325,225.29239,92.40308,66.40115,175.46412,299.23825,115.97808,964.87485,4766.8212,849.33778,676.97907,114.58368,1194.29508,2407.64483,1115.05336,348.91631,25847.91227,328.06784,376.15895,1176.87933,111.24365,260.68918,450.81157,397.73308,2351.73797,57.26346
2001年,576.37719,1383.6827,163.61655,0.65847,102.60101,2083.52733,380.60567,356.89442,262.30747,395.36049,51.92676,77.57408,850.36665,650.55873,135.31645,251.21195,105.98031,66.01376,195.46309,359.25349,120.23974,1111.60282,5777.96228,1030.88703,789.6709,131.97648,1422.57476,2886.70059,1212.34516,405.74019,29666.82654,382.62527,420.2037,1274.70116,121.08749,308.04987,487.59442,446.30467,2689.89205,62.45306
2002年,596.13381,1508.67655,178.19491,0.46874,116.78764,2332.68734,428.77656,410.70839,262.72998,449.17498,61.29247,94.58503,941.56736,710.32945,135.65645,282.02108,123.63835,67.69982,216.18156,407.40359,141.78576,1262.98377,6616.08603,1278.79003,876.51248,141.11303,1545.59336,3182.82607,1313.4555,475.93064,33067.62956,452.08923,481.08839,1414.00317,128.6357,342.49492,520.80529,510.39837,2841.45113,74.87399
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
