,专用设备制造业规模以上工业企业集体资本金,交通运输设备制造业规模以上工业企业集体资本金,仪器仪表及文化办公用机械制造业规模以上工业企业集体资本金,其他矿采选业规模以上工业企业集体资本金,其它制造业规模以上工业企业集体资本金,化学原料及化学制品制造业规模以上工业企业集体资本金,化学纤维制造业规模以上工业企业集体资本金,医药制造业规模以上工业企业集体资本金,印刷业、记录媒介的复制规模以上工业企业集体资本金,塑料制品业规模以上工业企业集体资本金,家具制造业规模以上工业企业集体资本金,文教体育用品制造业规模以上工业企业集体资本金,普通机械制造业规模以上工业企业集体资本金,有色金属冶炼及压延加工业规模以上工业企业集体资本金,有色金属矿采选业规模以上工业企业集体资本金,服装及其他纤维制品制造业规模以上工业企业集体资本金,木材加工及竹、藤、棕、草制品业规模以上工业企业集体资本金,木材及竹材采运业规模以上工业企业集体资本金,橡胶制品业规模以上工业企业集体资本金,烟草加工业规模以上工业企业集体资本金,煤气生产和供应业规模以上工业企业集体资本金,煤炭采选业规模以上工业企业集体资本金,电力、蒸汽、热水的生产和供应业规模以上工业企业集体资本金,电子及通信设备制造业规模以上工业企业集体资本金,电气机械及器材制造业规模以上工业企业集体资本金,皮革、毛皮、羽绒及其制品业规模以上工业企业集体资本金,石油加工及炼焦业规模以上工业企业集体资本金,石油和天然气开采业规模以上工业企业集体资本金,纺织业规模以上工业企业集体资本金,自来水的生产和供应业规模以上工业企业集体资本金,规模以上工业企业集体资本金,造纸及纸制品业规模以上工业企业集体资本金,金属制品业规模以上工业企业集体资本金,非金属矿物制造业规模以上工业企业集体资本金,非金属矿采选业规模以上工业企业集体资本金,食品制造业规模以上工业企业集体资本金,食品加工业规模以上工业企业集体资本金,饮料制造业规模以上工业企业集体资本金,黑色金属冶炼及压延加工业规模以上工业企业集体资本金,黑色金属矿采选业规模以上工业企业集体资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,92.36311,120.55842,18.64134,0.12831,41.54996,154.80113,34.71605,49.54841,36.66029,104.21011,19.80324,18.79812,127.81057,63.70977,22.27802,101.54953,21.46837,0.24638,27.7202,3.98266,0.66357,49.64496,78.97383,56.51193,201.26348,38.85789,28.59463,0.93915,236.49992,14.94084,2568.29352,81.37599,134.01828,260.25454,20.75103,48.59771,94.95149,43.4226,107.82565,9.30852
2001年,76.22423,101.1625,15.41291,0.04091,35.49197,151.91215,35.39646,57.67086,28.91104,95.58767,14.86146,14.71948,107.442,47.39889,23.35425,83.52307,20.08938,0.12007,26.51471,3.6487,1.00683,45.1358,83.21755,51.18773,158.8893,27.82008,25.84653,6.12343,206.11138,13.55508,2291.54148,73.84179,115.24981,247.15175,18.76239,50.23613,85.68601,35.34664,96.83279,9.74795
2002年,63.61364,134.56073,15.17522,0.06781,30.58727,146.95977,20.53135,56.52636,26.69951,87.16269,11.87565,14.89846,96.72496,48.13737,24.00709,77.85675,17.78791,0.09214,24.20407,3.39792,1.82037,52.25747,78.55324,42.58319,141.03829,22.73947,25.93399,0.29369,181.94717,14.53565,2155.61326,69.81216,104.71449,222.11912,14.57115,46.90108,89.42537,35.61714,100.28946,9.42059
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
