,专用设备制造业规模以上工业企业应交所得税,交通运输设备制造业规模以上工业企业应交所得税,仪器仪表及文化办公用机械制造业规模以上工业企业应交所得税,其他矿采选业规模以上工业企业应交所得税,其它制造业规模以上工业企业应交所得税,化学原料及化学制品制造业规模以上工业企业应交所得税,化学纤维制造业规模以上工业企业应交所得税,医药制造业规模以上工业企业应交所得税,印刷业、记录媒介的复制规模以上工业企业应交所得税,塑料制品业规模以上工业企业应交所得税,家具制造业规模以上工业企业应交所得税,文教体育用品制造业规模以上工业企业应交所得税,普通机械制造业规模以上工业企业应交所得税,有色金属冶炼及压延加工业规模以上工业企业应交所得税,有色金属矿采选业规模以上工业企业应交所得税,服装及其他纤维制品制造业规模以上工业企业应交所得税,木材加工及竹、藤、棕、草制品业规模以上工业企业应交所得税,木材及竹材采运业规模以上工业企业应交所得税,橡胶制品业规模以上工业企业应交所得税,烟草加工业规模以上工业企业应交所得税,煤气生产和供应业规模以上工业企业应交所得税,煤炭采选业规模以上工业企业应交所得税,电力、蒸汽、热水的生产和供应业规模以上工业企业应交所得税,电子及通信设备制造业规模以上工业企业应交所得税,电气机械及器材制造业规模以上工业企业应交所得税,皮革、毛皮、羽绒及其制品业规模以上工业企业应交所得税,石油加工及炼焦业规模以上工业企业应交所得税,石油和天然气开采业规模以上工业企业应交所得税,纺织业规模以上工业企业应交所得税,自来水的生产和供应业规模以上工业企业应交所得税,规模以上工业企业应交所得税,造纸及纸制品业规模以上工业企业应交所得税,金属制品业规模以上工业企业应交所得税,非金属矿物制造业规模以上工业企业应交所得税,非金属矿采选业规模以上工业企业应交所得税,食品制造业规模以上工业企业应交所得税,食品加工业规模以上工业企业应交所得税,饮料制造业规模以上工业企业应交所得税,黑色金属冶炼及压延加工业规模以上工业企业应交所得税,黑色金属矿采选业规模以上工业企业应交所得税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,18.23625,40.2617,6.6648,0.0397,5.27442,47.7013,14.01169,24.77685,10.23504,11.80031,1.84185,3.63703,23.50071,15.47211,6.33802,13.4435,3.14184,0.84303,4.40269,36.05747,0.97426,9.61639,80.8482,44.34454,35.00209,5.19553,12.69419,85.3323,28.46296,4.1484,762.84016,12.73231,13.85732,26.67975,3.64656,10.55033,15.26498,27.41442,56.78083,1.24188
2001年,20.89786,53.28307,7.96429,0.02905,7.03913,53.89113,8.49562,32.81443,12.34607,15.34753,2.52563,4.65747,29.77413,17.52918,5.81649,17.98934,3.8938,0.55353,5.65657,52.26973,1.24399,20.95296,81.17337,47.98755,44.15576,7.02658,10.88257,88.04647,32.46084,4.93515,885.69269,15.86326,18.07775,33.36954,3.10176,12.71343,21.41876,23.72095,63.69496,1.6664
2002年,27.42328,76.42278,8.30381,0.01924,8.85146,68.81829,13.28227,38.10624,13.20254,19.55702,4.05552,5.62176,40.21301,16.73407,6.29214,18.86509,4.56041,0.77113,7.59599,62.80045,1.80801,34.11638,96.75429,58.89745,50.86149,8.7338,21.70172,94.28225,40.44376,3.7681,1100.74338,20.01008,22.87389,38.27127,3.91909,18.27857,24.90648,28.5052,88.80893,1.90607
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
