,专用设备制造业规模以上工业企业固定资产原价合计,交通运输设备制造业规模以上工业企业固定资产原价合计,仪器仪表及文化办公用机械制造业规模以上工业企业固定资产原价合计,其他矿采选业规模以上工业企业固定资产原价合计,其它制造业规模以上工业企业固定资产原价合计,化学原料及化学制品制造业规模以上工业企业固定资产原价合计,化学纤维制造业规模以上工业企业固定资产原价合计,医药制造业规模以上工业企业固定资产原价合计,印刷业、记录媒介的复制规模以上工业企业固定资产原价合计,塑料制品业规模以上工业企业固定资产原价合计,家具制造业规模以上工业企业固定资产原价合计,文教体育用品制造业规模以上工业企业固定资产原价合计,普通机械制造业规模以上工业企业固定资产原价合计,有色金属冶炼及压延加工业规模以上工业企业固定资产原价合计,有色金属矿采选业规模以上工业企业固定资产原价合计,服装及其他纤维制品制造业规模以上工业企业固定资产原价合计,木材加工及竹、藤、棕、草制品业规模以上工业企业固定资产原价合计,木材及竹材采运业规模以上工业企业固定资产原价合计,橡胶制品业规模以上工业企业固定资产原价合计,烟草加工业规模以上工业企业固定资产原价合计,煤气生产和供应业规模以上工业企业固定资产原价合计,煤炭采选业规模以上工业企业固定资产原价合计,电力、蒸汽、热水的生产和供应业规模以上工业企业固定资产原价合计,电子及通信设备制造业规模以上工业企业固定资产原价合计,电气机械及器材制造业规模以上工业企业固定资产原价合计,皮革、毛皮、羽绒及其制品业规模以上工业企业固定资产原价合计,石油加工及炼焦业规模以上工业企业固定资产原价合计,石油和天然气开采业规模以上工业企业固定资产原价合计,纺织业规模以上工业企业固定资产原价合计,自来水的生产和供应业规模以上工业企业固定资产原价合计,规模以上工业企业固定资产原价合计,造纸及纸制品业规模以上工业企业固定资产原价合计,金属制品业规模以上工业企业固定资产原价合计,非金属矿物制造业规模以上工业企业固定资产原价合计,非金属矿采选业规模以上工业企业固定资产原价合计,食品制造业规模以上工业企业固定资产原价合计,食品加工业规模以上工业企业固定资产原价合计,饮料制造业规模以上工业企业固定资产原价合计,黑色金属冶炼及压延加工业规模以上工业企业固定资产原价合计,黑色金属矿采选业规模以上工业企业固定资产原价合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,1498.16745,3592.73393,401.67846,1.51669,300.93095,5560.53267,1359.04899,1062.81527,599.65609,1109.94184,163.79827,221.86521,2217.05976,1797.13179,370.71924,717.44164,404.24579,249.74216,565.38114,912.02743,441.59901,2969.136,15752.50093,2561.78,2086.11379,381.11012,3284.1657,5190.98751,3446.18863,1272.92676,78646.29787,1426.22738,1210.28247,3948.42661,435.63046,937.85928,1673.09107,1462.35911,6457.43864,164.18333
2001年,1523.62849,3908.14982,435.12804,1.22116,335.10358,6027.4178,1152.06688,1218.83671,716.31065,1247.1848,181.02679,240.59496,2305.71022,1942.40463,392.6651,788.04672,450.14246,237.11883,623.78147,972.75548,446.47691,3315.96485,18189.35553,3084.24409,2279.2682,418.14524,3605.27937,5974.44604,3632.04453,1422.77038,86293.09777,1617.79453,1331.0733,4020.92792,449.89311,998.38393,1703.67383,1526.57174,6993.0761,172.88169
2002年,1574.39804,4221.55473,473.35554,1.43897,371.48825,6518.83484,1207.67717,1428.79647,736.41133,1383.67678,209.41541,283.87638,2471.03631,2120.59235,393.43105,860.54184,477.5751,239.1566,669.71991,1022.4835,502.75111,3752.18568,20570.47403,3611.55004,2431.48344,448.27064,3712.0635,6353.47259,3878.55966,1633.8098,93887.94508,1754.04253,1408.55839,4300.46477,470.70472,1139.12561,1798.42971,1630.7095,7192.7233,205.00164
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
