,专用设备制造业规模以上工业企业管理费用,交通运输设备制造业规模以上工业企业管理费用,仪器仪表及文化办公用机械制造业规模以上工业企业管理费用,其他矿采选业规模以上工业企业管理费用,其它制造业规模以上工业企业管理费用,化学原料及化学制品制造业规模以上工业企业管理费用,化学纤维制造业规模以上工业企业管理费用,医药制造业规模以上工业企业管理费用,印刷业、记录媒介的复制规模以上工业企业管理费用,塑料制品业规模以上工业企业管理费用,家具制造业规模以上工业企业管理费用,文教体育用品制造业规模以上工业企业管理费用,普通机械制造业规模以上工业企业管理费用,有色金属冶炼及压延加工业规模以上工业企业管理费用,有色金属矿采选业规模以上工业企业管理费用,服装及其他纤维制品制造业规模以上工业企业管理费用,木材加工及竹、藤、棕、草制品业规模以上工业企业管理费用,木材及竹材采运业规模以上工业企业管理费用,橡胶制品业规模以上工业企业管理费用,烟草加工业规模以上工业企业管理费用,煤气生产和供应业规模以上工业企业管理费用,煤炭采选业规模以上工业企业管理费用,电力、蒸汽、热水的生产和供应业规模以上工业企业管理费用,电子及通信设备制造业规模以上工业企业管理费用,电气机械及器材制造业规模以上工业企业管理费用,皮革、毛皮、羽绒及其制品业规模以上工业企业管理费用,石油加工及炼焦业规模以上工业企业管理费用,石油和天然气开采业规模以上工业企业管理费用,纺织业规模以上工业企业管理费用,自来水的生产和供应业规模以上工业企业管理费用,规模以上工业企业管理费用,造纸及纸制品业规模以上工业企业管理费用,金属制品业规模以上工业企业管理费用,非金属矿物制造业规模以上工业企业管理费用,非金属矿采选业规模以上工业企业管理费用,食品制造业规模以上工业企业管理费用,食品加工业规模以上工业企业管理费用,饮料制造业规模以上工业企业管理费用,黑色金属冶炼及压延加工业规模以上工业企业管理费用,黑色金属矿采选业规模以上工业企业管理费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,190.70897,460.17136,70.14672,0.36946,45.56605,414.69,58.04158,168.16109,59.04142,92.13231,19.75213,35.49543,275.07996,127.4436,42.79619,107.3966,27.97642,24.0144,45.4692,77.46218,20.71511,207.39425,239.78957,376.77626,289.66595,49.81446,180.27831,159.88059,251.88534,53.78347,5414.21714,85.64021,132.92808,258.53388,31.3,86.751,135.58384,121.2322,337.24975,12.7993
