,专用设备制造业规模以上工业企业国家资本金,交通运输设备制造业规模以上工业企业国家资本金,仪器仪表及文化办公用机械制造业规模以上工业企业国家资本金,其他矿采选业规模以上工业企业国家资本金,其它制造业规模以上工业企业国家资本金,化学原料及化学制品制造业规模以上工业企业国家资本金,化学纤维制造业规模以上工业企业国家资本金,医药制造业规模以上工业企业国家资本金,印刷业、记录媒介的复制规模以上工业企业国家资本金,塑料制品业规模以上工业企业国家资本金,家具制造业规模以上工业企业国家资本金,文教体育用品制造业规模以上工业企业国家资本金,普通机械制造业规模以上工业企业国家资本金,有色金属冶炼及压延加工业规模以上工业企业国家资本金,有色金属矿采选业规模以上工业企业国家资本金,服装及其他纤维制品制造业规模以上工业企业国家资本金,木材加工及竹、藤、棕、草制品业规模以上工业企业国家资本金,木材及竹材采运业规模以上工业企业国家资本金,橡胶制品业规模以上工业企业国家资本金,烟草加工业规模以上工业企业国家资本金,煤气生产和供应业规模以上工业企业国家资本金,煤炭采选业规模以上工业企业国家资本金,电力、蒸汽、热水的生产和供应业规模以上工业企业国家资本金,电子及通信设备制造业规模以上工业企业国家资本金,电气机械及器材制造业规模以上工业企业国家资本金,皮革、毛皮、羽绒及其制品业规模以上工业企业国家资本金,石油加工及炼焦业规模以上工业企业国家资本金,石油和天然气开采业规模以上工业企业国家资本金,纺织业规模以上工业企业国家资本金,自来水的生产和供应业规模以上工业企业国家资本金,规模以上工业企业国家资本金,造纸及纸制品业规模以上工业企业国家资本金,金属制品业规模以上工业企业国家资本金,非金属矿物制造业规模以上工业企业国家资本金,非金属矿采选业规模以上工业企业国家资本金,食品制造业规模以上工业企业国家资本金,食品加工业规模以上工业企业国家资本金,饮料制造业规模以上工业企业国家资本金,黑色金属冶炼及压延加工业规模以上工业企业国家资本金,黑色金属矿采选业规模以上工业企业国家资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,298.07755,730.83574,64.40615,0.19172,14.84521,885.13354,178.72427,191.66104,114.41858,69.77987,11.70596,10.64226,392.15037,367.17225,84.63122,42.59174,44.22628,96.50112,86.20835,314.45345,250.86207,889.96932,2129.16455,322.19722,237.12644,20.26119,279.80349,1468.26199,392.68882,478.73771,13961.74872,170.49826,108.64299,512.96764,125.41804,113.57088,262.58902,241.38596,1810.04254,106.63868
2001年,313.71949,688.18487,67.42882,0.18821,15.47331,833.53548,112.12321,200.15121,124.32434,86.1026,9.35793,10.96007,363.93914,362.98456,77.52933,41.09616,47.45037,91.39669,86.37257,320.60615,246.89269,987.7554,2272.03914,335.25272,242.14174,18.877,370.53741,1543.71452,370.78119,470.90478,14206.30327,193.54614,101.83348,477.57717,153.49773,92.76947,231.79339,226.74358,1881.03055,105.58722
2002年,329.45581,814.61106,67.34552,0.21349,12.73527,785.58219,126.17553,246.07189,109.20295,83.44646,7.85362,9.87217,361.15572,372.48077,76.72487,39.88172,43.8728,86.80141,76.85653,319.90746,250.83175,1254.03083,2201.79949,337.06509,214.32759,14.29626,455.00041,916.7729,357.06422,533.3416,13532.90535,211.55686,101.99952,475.47202,136.15742,93.07775,206.91333,213.30891,1445.86533,103.45719
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
