,专用设备制造业规模以上工业企业营业利润,交通运输设备制造业规模以上工业企业营业利润,仪器仪表及文化办公用机械制造业规模以上工业企业营业利润,其他矿采选业规模以上工业企业营业利润,其它制造业规模以上工业企业营业利润,化学原料及化学制品制造业规模以上工业企业营业利润,化学纤维制造业规模以上工业企业营业利润,医药制造业规模以上工业企业营业利润,印刷业、记录媒介的复制规模以上工业企业营业利润,塑料制品业规模以上工业企业营业利润,家具制造业规模以上工业企业营业利润,文教体育用品制造业规模以上工业企业营业利润,普通机械制造业规模以上工业企业营业利润,有色金属冶炼及压延加工业规模以上工业企业营业利润,有色金属矿采选业规模以上工业企业营业利润,服装及其他纤维制品制造业规模以上工业企业营业利润,木材加工及竹、藤、棕、草制品业规模以上工业企业营业利润,木材及竹材采运业规模以上工业企业营业利润,橡胶制品业规模以上工业企业营业利润,烟草加工业规模以上工业企业营业利润,煤气生产和供应业规模以上工业企业营业利润,煤炭采选业规模以上工业企业营业利润,电力、蒸汽、热水的生产和供应业规模以上工业企业营业利润,电子及通信设备制造业规模以上工业企业营业利润,电气机械及器材制造业规模以上工业企业营业利润,皮革、毛皮、羽绒及其制品业规模以上工业企业营业利润,石油加工及炼焦业规模以上工业企业营业利润,石油和天然气开采业规模以上工业企业营业利润,纺织业规模以上工业企业营业利润,自来水的生产和供应业规模以上工业企业营业利润,规模以上工业企业营业利润,造纸及纸制品业规模以上工业企业营业利润,金属制品业规模以上工业企业营业利润,非金属矿物制造业规模以上工业企业营业利润,非金属矿采选业规模以上工业企业营业利润,食品制造业规模以上工业企业营业利润,食品加工业规模以上工业企业营业利润,饮料制造业规模以上工业企业营业利润,黑色金属冶炼及压延加工业规模以上工业企业营业利润,黑色金属矿采选业规模以上工业企业营业利润
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,45.92113,155.27418,33.52947,0.12255,29.15075,138.28467,61.51183,124.35791,40.52568,63.71433,12.60148,20.13658,78.53679,67.15528,25.6606,76.88177,13.14783,4.61163,6.29005,101.27966,-23.08765,-22.36848,463.49065,418.00254,164.75752,34.24185,-18.89481,1199.07514,110.05403,2.7798,3929.083,49.4073,67.76128,66.9437,10.9942,51.10248,55.75424,87.46074,130.41033,5.65694
2001年,62.35945,224.89028,38.66407,0.13399,37.961,103.6754,17.6497,148.29681,48.47218,84.27485,16.00566,23.46614,103.98344,51.7215,23.86877,95.71487,14.63462,2.67458,21.50884,162.36277,-18.71385,21.32658,486.82865,386.07605,213.40866,41.76027,-37.87416,999.63625,97.5465,0.53882,4141.78602,55.60744,89.19082,96.02351,9.6963,59.92076,81.20901,93.33193,193.50688,7.53757
2002年,112.96172,414.34624,45.65043,0.05214,42.06925,246.91138,26.25401,184.39556,54.39718,103.48955,19.12664,28.25065,184.41082,70.89918,29.42971,104.42805,16.85879,4.23571,39.2316,202.48382,-16.31955,70.37591,514.12695,450.87971,260.79956,56.22793,61.27484,944.34559,149.26775,-7.28591,5404.09439,94.19027,122.27249,123.94536,15.62433,92.05684,118.67435,113.86763,314.95587,8.07143
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
