,专用设备制造业规模以上工业企业主营业务成本,交通运输设备制造业规模以上工业企业主营业务成本,仪器仪表及文化办公用机械制造业规模以上工业企业主营业务成本,其他矿采选业规模以上工业企业主营业务成本,其它制造业规模以上工业企业主营业务成本,化学原料及化学制品制造业规模以上工业企业主营业务成本,化学纤维制造业规模以上工业企业主营业务成本,医药制造业规模以上工业企业主营业务成本,印刷业、记录媒介的复制规模以上工业企业主营业务成本,塑料制品业规模以上工业企业主营业务成本,家具制造业规模以上工业企业主营业务成本,文教体育用品制造业规模以上工业企业主营业务成本,普通机械制造业规模以上工业企业主营业务成本,有色金属冶炼及压延加工业规模以上工业企业主营业务成本,有色金属矿采选业规模以上工业企业主营业务成本,服装及其他纤维制品制造业规模以上工业企业主营业务成本,木材加工及竹、藤、棕、草制品业规模以上工业企业主营业务成本,木材及竹材采运业规模以上工业企业主营业务成本,橡胶制品业规模以上工业企业主营业务成本,烟草加工业规模以上工业企业主营业务成本,煤气生产和供应业规模以上工业企业主营业务成本,煤炭采选业规模以上工业企业主营业务成本,电力、蒸汽、热水的生产和供应业规模以上工业企业主营业务成本,电子及通信设备制造业规模以上工业企业主营业务成本,电气机械及器材制造业规模以上工业企业主营业务成本,皮革、毛皮、羽绒及其制品业规模以上工业企业主营业务成本,石油加工及炼焦业规模以上工业企业主营业务成本,石油和天然气开采业规模以上工业企业主营业务成本,纺织业规模以上工业企业主营业务成本,自来水的生产和供应业规模以上工业企业主营业务成本,规模以上工业企业主营业务成本,造纸及纸制品业规模以上工业企业主营业务成本,金属制品业规模以上工业企业主营业务成本,非金属矿物制造业规模以上工业企业主营业务成本,非金属矿采选业规模以上工业企业主营业务成本,食品制造业规模以上工业企业主营业务成本,食品加工业规模以上工业企业主营业务成本,饮料制造业规模以上工业企业主营业务成本,黑色金属冶炼及压延加工业规模以上工业企业主营业务成本,黑色金属矿采选业规模以上工业企业主营业务成本
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,1644.55135,4298.46978,702.01849,1.98571,760.28879,4466.20472,1019.97565,1026.76319,461.3528,1552.20382,287.44773,503.61751,2298.07534,1787.49939,284.03836,1828.48438,537.96233,66.12897,613.35565,673.19762,227.82791,894.43899,5733.80629,6210.19621,3685.6714,1103.41642,4140.98034,1363.75669,4240.34823,231.94195,68653.95,1267.60069,2030.21165,2730.5772,243.65193,1056.24586,3097.71958,1096.3011,4193.61897,116.99627
2001年,1771.23303,5138.29523,768.08918,2.71019,848.95508,5040.1356,861.58061,1229.84389,539.79937,1757.47601,346.50956,555.02063,2622.70032,1988.31932,299.68758,2086.30594,595.08966,59.06977,665.68364,742.78709,239.95438,1054.20286,6526.89932,7713.41511,4167.71568,1277.46439,4186.30408,1336.73854,4672.26972,243.51647,77259.89,1428.47015,2260.54335,3020.09942,262.26175,1197.35418,3423.85225,1155.54034,4855.22091,138.18068
2002年,2143.95383,6590.41281,899.52595,1.24228,982.83714,5759.92226,974.44063,1465.07718,616.74617,2045.15216,420.0276,631.70963,3249.82625,2251.79111,331.42274,2365.14712,676.68528,55.74282,788.38566,806.01868,303.26892,1357.26882,7661.19016,9503.77812,4739.42353,1500.35993,4336.06398,1370.93097,5416.71662,270.22146,90243.76,1647.26655,2654.01746,3510.01175,298.14978,1415.48992,4052.16284,1242.99378,5537.64217,169.15403
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
