,专用设备制造业规模以上工业企业港澳台资本金,交通运输设备制造业规模以上工业企业港澳台资本金,仪器仪表及文化办公用机械制造业规模以上工业企业港澳台资本金,其他矿采选业规模以上工业企业港澳台资本金,其它制造业规模以上工业企业港澳台资本金,化学原料及化学制品制造业规模以上工业企业港澳台资本金,化学纤维制造业规模以上工业企业港澳台资本金,医药制造业规模以上工业企业港澳台资本金,印刷业、记录媒介的复制规模以上工业企业港澳台资本金,塑料制品业规模以上工业企业港澳台资本金,家具制造业规模以上工业企业港澳台资本金,文教体育用品制造业规模以上工业企业港澳台资本金,普通机械制造业规模以上工业企业港澳台资本金,有色金属冶炼及压延加工业规模以上工业企业港澳台资本金,有色金属矿采选业规模以上工业企业港澳台资本金,服装及其他纤维制品制造业规模以上工业企业港澳台资本金,木材加工及竹、藤、棕、草制品业规模以上工业企业港澳台资本金,木材及竹材采运业规模以上工业企业港澳台资本金,橡胶制品业规模以上工业企业港澳台资本金,烟草加工业规模以上工业企业港澳台资本金,煤气生产和供应业规模以上工业企业港澳台资本金,煤炭采选业规模以上工业企业港澳台资本金,电力、蒸汽、热水的生产和供应业规模以上工业企业港澳台资本金,电子及通信设备制造业规模以上工业企业港澳台资本金,电气机械及器材制造业规模以上工业企业港澳台资本金,皮革、毛皮、羽绒及其制品业规模以上工业企业港澳台资本金,石油加工及炼焦业规模以上工业企业港澳台资本金,石油和天然气开采业规模以上工业企业港澳台资本金,纺织业规模以上工业企业港澳台资本金,自来水的生产和供应业规模以上工业企业港澳台资本金,规模以上工业企业港澳台资本金,造纸及纸制品业规模以上工业企业港澳台资本金,金属制品业规模以上工业企业港澳台资本金,非金属矿物制造业规模以上工业企业港澳台资本金,非金属矿采选业规模以上工业企业港澳台资本金,食品制造业规模以上工业企业港澳台资本金,食品加工业规模以上工业企业港澳台资本金,饮料制造业规模以上工业企业港澳台资本金,黑色金属冶炼及压延加工业规模以上工业企业港澳台资本金,黑色金属矿采选业规模以上工业企业港澳台资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,32.88547,100.73831,37.64079,0.007,67.54095,97.56499,90.89405,42.57204,45.66628,168.29695,23.26327,76.00453,53.19532,47.25245,0.35049,129.85057,31.40785,0.0,39.65846,0.95856,3.41836,0.80109,180.5427,251.04962,146.27133,75.93453,16.125,21.9905,220.9853,2.89842,2695.31201,74.21669,143.32166,156.87206,2.98736,86.31328,65.82461,93.76497,64.71587,0.33033
2001年,35.17411,113.06349,39.19512,0.0,77.07412,113.04947,73.95095,48.47146,63.28887,205.45025,28.74467,76.76397,66.87323,41.32959,0.60196,133.0835,40.49972,0.0,41.41317,1.14953,5.11481,0.90212,189.43566,327.84729,170.73104,87.87146,38.86249,94.50323,252.09923,5.3681,3188.46612,95.27641,183.74933,183.59995,5.62812,89.64471,75.86725,107.41822,74.98587,0.38365
2002年,47.71574,127.03503,45.23148,0.0,86.82795,151.42293,55.74031,50.03577,64.1605,218.13389,33.54778,85.02647,74.23227,50.29047,0.6198,141.86761,46.71888,0.0,34.7423,1.15488,7.18208,0.69101,190.82379,386.43572,190.37661,99.87794,38.39252,69.42108,261.29889,5.58363,3376.40633,91.68743,183.86944,187.84334,4.47322,79.43888,79.28759,114.66186,69.94263,0.61461
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
